bairro_origem, bairro_destino, logradouro, observacao, peso
Encruzilhada, Campo Grande, Rua Inhamuns, , 1 
Rosarinho, Tamarineira, Rua Caio Pereira, , 0.6645
Rosarinho, Ponto de Parada, Rua Almirante Noronha de Carvalho, , 1
Tamarineira, Casa Amarela, Rua Albino Meira, , 1
Tamarineira, Jaqueira, Rua Simão Mendes, , 1
Tamarineira, Parnamirim, Rua Sebastião Alves, , 1
Tamarineira, Mangabeira, Rua da Mangabeira, , 1
Tamarineira, Arruda, Estrada Velha de Água Fria, , 1
Tamarineira, Ponto de Parada, Avenida Professor José dos Anjos, ,0.96
Ponto de Parada, Hipódromo, Rua Professor Jerônimo Gueiros, , 1
Ponto de Parada, Arruda, Avenida Beberibe Santa Cruz Futebol Clube, , 1
Jaqueira, Parnamirim, Rua Muniz Tavares, , 1
Jaqueira, Torre, Rua Leonardo Bezerra Cavalcante, , 1
Monteiro, Apipucos, Rua de Apipucos, , 1
Monteiro, Alto do Mandu, Rua Quatro de Março, , 1
Monteiro, Casa Amarela, Estrada do Arraial, , 1
Monteiro, Poço da Panela, Rua Tapacurá, , 1
Alto do Mandu, Casa Amarela, Rua Couripe, , 1
Alto do Mandu, Nova Descoberta, Rua Nova Descoberta, , 1
Casa Amarela, Parnamirim, Estrada do Encantamento, , 1
Casa Amarela, Casa Forte, Estrada das Ubaias, , 1
Casa Amarela, Poço da Panela, Rua Engenheiro Oscar Freire, , 1
Casa Amarela, Vasco da Gama, Rua Padre Lemos, , 1
Casa Amarela, Alto José do Pinho, Rua Arnaldo Magalhães, , 1
Casa Amarela, Mangabeira, Rua Guimarães Peixoto, , 0.276
Casa Amarela, Morro da Conceição, Praça do Trabalho, , 1
Casa Forte, Poço da Panela, Avenida Dezessete de Agosto, , 1
Casa Forte, Santana, Rua Laurindo Coelho, , 0.4545
Casa Forte, Parnamirim, Rua Alfredo Fernandes, , 1
Poço da Panela, Santana, Rua Sant'Anna, , 1
Santana, Parnamirim, Praça Rádio Jornal Comércio, , 1
Santana, Cordeiro, Psa. Santana Vila-Santa Luiza, , 1
Parnamirim, Torre, Rua José Bonifácio, , 1
Mangabeira, Alto José do Pinho, Rua Severino Bernardino Pessoa, , 1
Mangabeira, Bomba do Hemetério, Rua 2A Travessa Chá de Alegria, , 1
Mangabeira, Arruda, Rua Jacob, , 1
# checar se estão no bairros
Alto José do Pinho, Bomba do Hemetério, Rua Arlindo Cisneiros, , 1
Alto José do Pinho, Morro da Conceição, Rua Córrego do Bartolomeu, , 1
Alto José do Pinho, Alto de Santa Teresinha, R. Mário de Andrade, ,1
Vasco Da Gama, Morro da Conceição, Rua Itacoatiara, , 0.285
Vasco Da Gama, Alto José Bonifácio, Rua Baulanadia, , 1
Vasco Da Gama, Brejo de Beberibe, Rua da Paz, , 1
Vasco Da Gama, Nova Descoberta, Rua Alto 13 de Maio, , 1
Água Fria, Arruda, Rua do Triunfo, , 1
Água Fria, Bomba do Hemetério, Rua Pastor Evangélico Benoby Carvalho de Souza, , 1
Água Fria, Linha do Tiro, Avenida Aníbal Benévolo, , 1
Água Fria, Beberibe, Rua Taguatinga, , 1
Água Fria, Porto da Madeira, Rua Conselheiro Barros Barreto, , 1
Água Fria, Fundão, Rua Maj. Davino, , 1  
Água Fria, Campina do Barreto, Rua Constança, , 1
Peixinhos, Campina do Barreto, Rua da Passarela, , 1
Campina do Barreto, Cajueiro, Rua dos Peixinhos, , 1
Campina do Barreto, Arruda, Rua Clara, , 0.216
Alto José Bonifácio, Alto Santa Teresinha, Rua Córrego José Grande , , 0.765
Alto José Bonifácio, Morro da Conceição, Rua Córrego Euclides , , 1
Alto José Bonifácio, Linha do Tiro, Rua Alto da Serrinha, , 1
Alto José Bonifácio, Brejo do Beberibe, Avenida Ver. Otacílio Azevedo, , 1
Alto Santa Terezinha, Linha do tiro, Rua Alto do Brasil, , 1
Alto santa Terezinha, Morro da Conceição, Rua Padre Oliveira, , 0.288
Linha do Tiro, Beberibe, Rua Uriel de Holanda, , 1
Linha do Tiro, Dois Unidos, Rua Eládio Camboim, , 0.948
Linha do Tiro, Brejo do Beberibe, Rua Exp Valdemar Adélino, , 1
Brejo do Beberibe, Nova Descoberta, Rua Pindaí, , 1 
Brejo do Beberibe, Brejo da Guabirba, Rua Teolândia, , 1
Brejo do Beberibe, Passarinho, Rua Doutor Antônio da Rosa Borges, , 1
Brejo do Beberibe, Dois Unidos, Avenida Chagas Ferreira, , 1
Passarinho, Brejo da Guabiraba, Rua Santa Tereza, , 0.327
Passarinho, Dois Unidos, Rua do Agave, , 1
Brejo da Guabiraba, Dois Unidos , Rua Tupiramdá, , 1
Brejo da Guabiraba, Córerrego do Jenipapo, Rua Aracari, , 1
Nova Descoberta, Macaxeira, Rua Antônio Carneiro
Nova Descoberta, Córerrego do Jenipapo, Rua Alto da Brasileira, , 1
Macaxeira, Córrego do Jenipapo, Rua Dom Joaquim, , 1
Dois Unidos, Beberibe, Avenida Hidelbrando de Vaaconcelos, , 1
Beberibe, Porto da Madeira, Avenida Beberibe, , 1
Cajueiro, Porto da Madeira, Rua Doutor Alberto Wanderley, , 1
Guabiraba, Passarinho, Rua do passarinho, , 1
Guabiraba, Córrego do Jenipapo, Avenida da Recuperação, , 2.0
Ilha do Leite, ilha Joana Bezerra, Avenida Governador Agamenon Magalhães, , 1
Bomba do Hemetério, Alto Santa Teresinha, Rua Professor José Amarino dos Reis  , , 1
Bomba do Hemetério, Arruda, Rua São Bento, , 0.561
Pau-Ferro,Guabiraba, Estrada Do Orfanato, , 1.77










