lutador,grau
Ken Shamrock,9
Charles Rosa,9
Calvin Kattar,9
Yair Rodriguez,9
Eric Schafer,9
Irene Aldana,9
Steven Siler,9
Drew McFedries,9
Luiz Cane,9
Cynthia Calvillo,9
David Branch,9
Rony Jason,9
Duane Ludwig,9
Kenny Robertson,9
Islam Makhachev,9
Nate Quarry,9
David Loiseau,9
Josh Emmett,9
Felice Herrig,9
Roan Carneiro,9
Volkan Oezdemir,9
Teruto Ishihara,9
Ivan Menjivar,9
John Hathaway,9
Dennis Hallman,9
Maximo Blanco,9
Marvin Vettori,9
Mairbek Taisumov,9
Jose Quinonez,9
Francis Carmont,9
Paul Taylor,9
Jamie Varner,9
Paul Kelly,9
Albert Tumenov,8
Robert Peralta,8
Petr Yan,8
Sage Northcutt,8
Ronda Rousey,8
Marlon Moraes,8
Hatsu Hioki,8
Vinc Pichel,8
Ryan Benoit,8
Rose Namajunas,8
Cody Stamann,8
JJ Aldrich,8
Joe Duffy,8
Ricky Simon,8
Lina Lansberg,8
Aaron Riley,8
Alan Patrick,8
Cory Sandhagen,8
Roger Huerta,8
Julianna Pena,8
Pete Williams,8
Krzysztof Soszynski,8
Maryna Moroz,8
Alex Perez,8
Tom Breese,8
TJ Waldburger,8
Nick Catone,8
Germaine de Randamie,8
Rafaello Oliveira,8
Antoni Hardonk,8
Kyoji Horiguchi,8
Jens Pulver,8
Justin Gaethje,8
Jared Rosholt,8
Jason Lambert,8
Douglas Silva de Andrade,8
Jack Marshman,8
Ion Cutelaba,8
Leonard Garcia,8
Dong Hyun Ma,8
Matt Schnell,8
Phil Baroni,8
Ashlee Evans-Smith,8
Jake Collier,8
Shamil Abdurakhimov,8
Chico Camus,8
Joe Proctor,8
Cyrille Diabate,8
Leandro Silva,8
Siyar Bahadurzada,8
Marco Polo Reyes,8
Shane Burgos,8
Sijara Eubanks,8
Marcus Brimage,8
Vaughan Lee,8
Anthony Njokuani,8
Sean Spencer,8
Chase Sherman,8
Jake Shields,8
Dominick Reyes,8
Mickey Gall,8
Brian Ebersole,8
Brad Scott,8
Nick Hein,8
Christos Giagos,8
Jared Gordon,8
Mitch Gagnon,8
Alexa Grasso,8
Zak Ottow,8
Alexander Volkanovski,8
Greg Hardy,8
Ryan Jensen,8
Don Frye,8
Tai Tuivasa,8
Russell Doane,8
Paul Varelans,8
Hacran Dias,8
Francimar Barroso,8
Joe Soto,8
Ashley Yoder,8
Trevin Giles,7
Vitor Miranda,7
Timothy Johnson,7
Dominick Cruz,7
Tom Watson,7
Ildemar Alcantara,7
Justin Edwards,7
Eddie Alvarez,7
Ricco Rodriguez,7
Aleksandar Rakic,7
Song Yadong,7
Kevin Randleman,7
Rodrigo Damm,7
Hannah Cifers,7
Soa Palelei,7
Luis Pena,7
Josh Thomson,7
Andrew Craig,7
Eugene Jackson,7
Lucie Pudilova,7
Kai Kara-France,7
Jairzinho Rozenstruik,7
Montana De La Rosa,7
Hyun Gyu Lim,7
Mitch Clarke,7
Chris Wade,7
Kajan Johnson,7
Mike Easton,7
Zubaira Tukhugov,7
Roland Delorme,7
Roosevelt Roberts,7
Mara Romero Borella,7
Damir Hadzovic,7
Karl Roberson,7
Mark De La Rosa,7
Frank Camacho,7
Artem Lobov,7
Neil Seery,7
Adriano Martins,7
Jared Hamman,7
Justin Ledet,7
Arnold Allen,7
Alexander Hernandez,7
Maurice Greene,7
Yoshihiro Akiyama,7
Jeff Monson,7
Leslie Smith,7
Drakkar Klose,7
Nam Phan,7
Cody McKenzie,7
Merab Dvalishvili,7
Bec Rawlings,7
Jonathan Martinez,7
Nasrat Haqparast,7
Casey Kenney,7
George Sullivan,7
Davi Ramos,7
Brett Johns,7
Jerry Bohlander,7
Davey Grant,7
Juliana Lima,7
Kailin Curran,7
Maurice Smith,7
Gary Goodridge,7
Ali Bagautinov,7
Nina Ansaroff,7
Eric Spicely,7
Gilbert Melendez,7
Ricardo Ramos,7
Cat Zingano,7
Mike de la Torre,7
Julian Erosa,7
Luke Cummo,7
Brandon Davis,7
Brock Lesnar,7
Jorge Gurgel,7
Andre Soukhamthath,7
Rob Kimmons,7
Kevin Casey,7
Daniel Roberts,7
Luke Sanders,7
Mike Massenzio,7
Nicolas Dalby,7
Jason Brilz,7
Mark Hominick,7
Gregor Gillespie,7
Yaotzin Meza,7
Justin Salas,7
Michihiro Omigawa,7
Lucas Martins,7
Clint Hester,7
Kyle Bochniak,7
Drew Fickett,7
Elvis Sinosic,7
Ketlen Vieira,7
Pete Spratt,7
Mizuto Hirota,7
Ben Nguyen,7
Reza Madadi,7
Matt Grice,7
Oleg Taktarov,7
Ryan Jimmo,7
Johnny Eduardo,7
Caio Magalhaes,7
Zach Makovsky,7
Sean O'Connell,7
Jake O'Brien,7
Mike Rodriguez,7
Forrest Petz,7
Cristiane Justino,7
Rob Emerson,7
Markus Perez,7
Phillipe Nover,7
Desmond Green,7
Andre Ewell,7
Ivan Salaverry,7
Nick Ring,6
Guido Cannetti,6
Tarec Saffiedine,6
KJ Noons,6
Magomed Ankalaev,6
Luis Henrique,6
Shonie Carter,6
Thiago Moises,6
Thibault Gouti,6
Dave Menne,6
Claudio Silva,6
Gadzhimurad Antigulov,6
Paulo Costa,6
Sean Pierson,6
Dustin Pague,6
Amanda Cooper,6
Hakeem Dawodu,6
Ryan Spann,6
Megan Anderson,6
Fabiano Iha,6
Montel Jackson,6
Brian Johnston,6
Damian Stasiak,6
Marco Beltran,6
Carlos Newton,6
Jordan Espinosa,6
Ian Freeman,6
Hugo Viana,6
Andy Ogle,6
Akira Corassani,6
Ji Yeon Kim,6
Macy Chiasson,6
Damien Brown,6
Oskar Piechota,6
Edwin Figueroa,6
John Phillips,6
Lyman Good,6
Andrea Lee,6
Justine Kish,6
Fabricio Camoes,6
Pat Healy,6
Johnny Walker,6
Tsuyoshi Kohsaka,6
Henrique da Silva,6
Jason Saggo,6
Mike Brown,6
Piotr Hallmann,6
Cathal Pendred,6
Dooho Choi,6
Johnny Case,6
Shane Carwin,6
Geoff Neal,6
Todd Duffee,6
Eliot Marshall,6
Gina Mazany,6
Steve Cantwell,6
Matthew Lopez,6
Rashid Magomedov,6
Abdul Razak Alhassan,6
David Teymur,6
Eddie Sanchez,6
Ian Heinisch,6
Shana Dobson,6
Tatsuya Kawajiri,6
Yana Kunitskaya,6
Rick Glenn,6
Terry Martin,6
Tony DeSouza,6
Nathaniel Wood,6
Pablo Garza,6
Nicholas Musoke,6
Tyson Pedro,6
Yan Xiaonan,6
Jorge Santiago,6
Shane Roller,6
Zabit Magomedsharipov,6
Daniel Sarafian,6
Jennifer Maia,6
Mike Russow,6
Diego Nunes,6
Karlos Vemola,6
Andre Winner,6
Mackenzie Dern,6
Molly McCann,6
Richard Walsh,6
Valerie Letourneau,6
Pete Sell,6
Dean Lister,6
Brandon Thatch,6
Ramazan Emeev,6
Chris Gutierrez,6
Polyana Viana,6
Joaquim Silva,6
Paul Buentello,6
Frank Trigg,6
Tomasz Drwal,6
Travis Lutter,6
Eric Shelton,6
Scott Askham,6
Marcus Aurelio,6
James Moontasri,6
Marina Rodriguez,6
Houston Alexander,6
Brock Larson,6
Marco Ruas,6
Bojan Velickovic,6
Magnus Cedenblad,6
Albert Morales,6
Gavin Tucker,6
Jimy Hettes,6
Luke Barnatt,6
Song Kenan,6
Henry Briones,5
Edmen Shahbazyan,5
Dylan Andrews,5
Ian McCall,5
Chris Clements,5
Frank Shamrock,5
Oluwale Bamgbose,5
Viviane Araujo,5
Tyson Nam,5
Justin Buchholz,5
Tatiana Suarez,5
Junior Albini,5
Tim Kennedy,5
Amanda Ribas,5
Matt Frevola,5
Youssef Zalal,5
Christian Wellisch,5
Viktor Pesta,5
Michinori Tanaka,5
Nick Osipczak,5
Brian Foster,5
Shannon Gugerty,5
Brad Blackburn,5
Yoshiyuki Yoshida,5
Sheymon Moraes,5
Jordan Rinaldi,5
Justin Willis,5
Jessica Aguilar,5
Curtis Millender,5
Garreth McLellan,5
Kalib Starnes,5
Marvin Eastman,5
Tim Credeur,5
Tim Hague,5
Michel Pereira,5
Jon Madsen,5
Damon Jackson,5
Pannie Kianzad,5
Tae Hyun Bang,5
Leandro Issa,5
Junior Assuncao,5
Rich Attonito,5
Steven Peterson,5
Josh Samman,5
Shane Campbell,5
Heath Herring,5
Jess Liaudin,5
Maki Pitolo,5
Maycee Barber,5
Serghei Spivac,5
Jonathan Brookins,5
Ariane Lipski,5
Antonina Shevchenko,5
John Alessio,5
Manny Bermudez,5
Yan Cabral,5
Chris Beal,5
Chris Gruetzemacher,5
Anthony Birchak,5
Raoni Barcelos,5
Giga Chikadze,5
Tanner Boser,5
Paul Sass,5
Julio Arce,5
Robert Whiteford,5
David Heath,5
Kiichi Kunimoto,5
Dominique Steele,5
Dongi Yang,5
Riki Fukuda,5
Philip De Fries,5
Bryce Mitchell,5
Aspen Ladd,5
Daniel Teymur,5
Rafael Cavalcante,5
Sabina Mazo,5
Sam Hoger,5
Joby Sanchez,5
James Head,5
David Mitchell,5
John Maguire,5
Dave Herman,5
Poliana Botelho,5
Jimmy Crute,5
Magomed Mustafaev,5
Michal Oleksiejczuk,5
Blagoy Ivanov,5
Zhang Weili,5
Veronica Macedo,5
Paddy Holohan,5
John Albert,5
Vinny Magalhaes,5
Alex Chambers,5
Andrew Holbrook,5
Ciryl Gane,5
Livinha Souza,5
Naoyuki Kotani,5
Jessica-Rose Clark,5
Phil Harris,5
Johnny Bedford,5
Ronny Markes,5
Jason High,5
Katsunori Kikuno,5
Augusto Sakai,5
Bartosz Fabinski,5
Jalin Turner,5
Dustin Kimura,5
Sean O'Malley,5
Kevin Aguilar,5
Elias Silverio,5
Austin Hubbard,5
Emily Whitmire,5
Louis Gaudinot,5
Muslim Salikhov,5
Kimo Leopoldo,5
Danielle Taylor,5
Cyril Asker,5
Dave Beneteau,5
Grant Dawson,5
Remco Pardoel,5
Matheus Nicolau,5
Patrick Smith,5
Charles Jourdain,5
Will Campuzano,4
Mike Rio,4
Darren Uyenoyama,4
Michael Kuiper,4
Dequan Townsend,4
Tor Troeng,4
Kazuki Tokudome,4
Cung Le,4
Cody Donovan,4
Jessin Ayari,4
Shane Young,4
Askar Askarov,4
Ron Waterman,4
Guy Mezger,4
Mark Godbeer,4
Jeremy Kennedy,4
Ryan Janes,4
Keith Wisniewski,4
Pascal Krauss,4
Papy Abedi,4
Vagner Rocha,4
Alonzo Menifield,4
Murilo Bustamante,4
Amanda Lemos,4
Rogerio Bontorin,4
Sean Brady,4
Mario Bautista,4
Mayra Bueno Silva,4
Rolando Dy,4
Shinsho Anzai,4
Viviane Pereira,4
Jenel Lausa,4
Said Nurmagomedov,4
Brian Bowles,4
Bart Palaszewski,4
Antonio Carvalho,4
Tom Niinimaki,4
Dwight Grant,4
Isaac Vallie-Flagg,4
Tiki Ghosn,4
Gan McGee,4
Will Brooks,4
Alvaro Herrera Mendoza,4
Jeremy Kimball,4
Jonathan Wilson,4
Marcin Held,4
Reuben Duran,4
Joel Alvarez,4
Laureano Staropoli,4
Stanislav Nedkov,4
Lavar Johnson,4
Che Mills,4
Josh Grispi,4
Mike van Arsdale,4
Tra Telligman,4
Jordan Johnson,4
Terrion Ware,4
Jarred Brooks,4
Tony Fryklund,4
Dustin Jacoby,4
Wesley Correira,4
Khalid Taha,4
Bevon Lewis,4
Jay Hieron,4
Norifumi Yamamoto,4
William Macario,4
Cody Gibson,4
Zhang Tiequan,4
Hector Sandoval,4
Frankie Perez,4
Devin Powell,4
Joachim Christensen,4
Trevor Prangley,4
Justin Eilers,4
Brendan Allen,4
Jason Young,4
Walel Watson,4
Ken Stone,4
Alptekin Ozkilic,4
Vik Grujic,4
Jesse Ronson,4
Ricardo Funch,4
Scott Smith,4
Rory Singer,4
Aiemann Zahabi,4
Alex Nicholson,4
Jessica Penne,4
Darrell Horcher,4
Rashad Coulter,4
Austin Arnett,4
Marcio Cruz,4
Daniel Rodriguez,4
Nad Narimani,4
Chris Fishgold,4
Josh Sampo,4
Zhang Lipeng,4
Miguel Torres,4
Rachael Ostovich,4
Igor Araujo,4
Danny Henry,4
Raulian Paiva,4
Jordan Griffin,4
Marc-Andre Barriault,4
Yosdenis Cedeno,4
Eddie Gordon,4
Christian Morecraft,4
Claude Patrick,4
Justin Jaynes,4
Kuniyoshi Hironaka,4
Adam Milstead,4
Chris de la Rocha,4
Sultan Aliev,4
Kurt Holobaugh,4
Talita Bernardo,4
Arjan Bhullar,4
Jason Gonzalez,4
Marcelo Golm,4
Fredy Serrano,4
Tiago dos Santos e Silva,4
Brendan O'Reilly,4
Seo Hee Ham,4
Guangyou Ning,4
Anthony Hernandez,4
Devonte Smith,4
Clay Collard,4
Felicia Spencer,4
Charles Byrd,4
Jessamyn Duke,4
Ivan Jorge,4
Leonardo Mafra,4
Takashi Sato,4
SeungWoo Choi,4
Martin Day,4
Geane Herrera,4
Yao Zhikui,4
Ryan Hall,4
Syuri Kondo,4
Alvin Robinson,4
Jon Delos Reyes,4
Saparbeg Safarov,4
Ismail Naurdiev,4
Klidson Abreu,4
Vince Morales,4
Aleksei Kunchenko,4
Billy Quarantillo,4
Mario Miranda,4
Carmelo Marrero,4
Nate Mohr,4
Jodie Esquibel,4
Humberto Bandenay,4
Waylon Lowe,4
Richie Vaculik,4
Emil Meek,4
Priscila Cachoeira,4
Juan Adams,4
Edimilson Souza,4
Gasan Umalatov,4
Chris Tuchscherer,4
Rafael Fiziev,4
Virna Jandiroba,4
Mike Guymon,4
Vanessa Melo,4
Deron Winn,4
Gerald Harris,4
Edgar Garcia,4
Sarah Kaufman,4
Akbarh Arreola,4
Danny Martinez,4
Mike Wilkinson,4
Noad Lahat,4
Matt Dwyer,4
Jason Dent,4
Chris Wilson,4
Justin McCully,4
Taylor Lapilus,4
Brad Katona,4
Teemu Packalen,4
Elizabeth Phillips,4
Ryo Chonan,4
Arman Tsarukyan,4
Kyle Bradley,4
Kevin Burns,4
Marcin Prachnio,4
Movsar Evloev,4
Jim Alers,4
Luke Jumeau,4
Martin Bravo,4
Cody Pfister,4
Darko Stosic,4
Sodiq Yusuff,4
Pingyuan Liu,4
Goran Reljic,4
Seth Petruzelli,4
James Wilks,4
Jerrod Sanders,4
Willie Gates,4
Aleksandra Albu,4
Daniel Spitz,4
Lauren Mueller,4
Vinicius Moreira,4
Su Mudaerji,4
Chris Kelades,4
Mark Eddiva,4
Viscardi Andrade,4
Marcelo Guimaraes,4
Chance Rencountre,4
Chris Dempsey,4
Wu Yanan,4
David Zawada,4
Joaquin Buckley,4
Renee Forte,4
Khadis Ibragimov,4
Jeff Hughes,4
Colton Smith,4
Kyle Nelson,4
Bobby Voelker,4
Lance Benoist,4
Cristiano Marcello,4
Kevin Jackson,4
Mark Kerr,4
Scott Ferrozzo,4
Mark Hall,4
Diego Rivas,4
Alberto Mina,4
Luan Chagas,4
Patrick Williams,4
Bruno Silva,4
Keith Hackney,4
Felipe Silva,3
Mads Burnell,3
Mike Santiago,3
Cal Worsham,3
Jinh Yu Frey,3
Jason Witt,3
Julia Avila,3
Irwin Rivera,3
Randy Costa,3
Journey Newson,3
Khamzat Chimaev,3
Brad Riddell,3
Alex Da Silva,3
Steve Jennum,3
Dan Lauzon,3
Jesse Lennox,3
Justin Tafa,3
Carlos Felipe,3
Ian Entwistle,3
Dominic Waters,3
Rodney Wallace,3
Lerone Murphy,3
Mostapha Al-Turk,3
Matt Veach,3
Hector Aldana,3
Sergei Pavlovich,3
Ben Askren,3
Steve Bosse,3
Paul Daley,3
Jesse Forbes,3
John Salter,3
John Gunderson,3
James McSweeney,3
Gilbert Yvel,3
Masanori Kanehara,3
Tony Sims,3
Levan Makashvili,3
Matt Sayles,3
Felipe Colares,3
Masio Fullen,3
Jake Rosholt,3
Claudio Puelles,3
Nadia Kassem,3
Ike Villanueva,3
Shane Nelson,3
Rory Markham,3
Dalcha Lungiambula,3
Mike Davis,3
Makhmud Muradov,3
David Bielkheden,3
Michael Graves,3
Damir Ismagulov,3
Dale Hartt,3
Rolando Delgado,3
Denis Kang,3
Valmir Lazaro,3
Yui Chul Nam,3
Marcio Alexandre Junior,3
Sheldon Westcott,3
Greg Soto,3
Gabe Ruediger,3
Taila Santos,3
Khaos Williams,3
Aisling Daly,3
Callan Potter,3
Sean McCorkle,3
Jerome Rivera,3
Augusto Montano,3
Glaico Franca Moreira,3
Hector Urbina,3
Salim Touahri,3
Bobby Moffett,3
Lukasz Sajewski,3
Matt Arroyo,3
Akihiro Gono,3
Steve Bruno,3
Per Eklund,3
Jason Day,3
Kris McCray,3
Chase Hooper,3
Francisco Trevino,3
Ruslan Magomedov,3
Mickael Lebout,3
Curt Warburton,3
Jason Reinhardt,3
Ian Loveland,3
Rameau Thierry Sokoudjou,3
Erick Montano,3
Heather Clark,3
Milana Dudieva,3
Tonya Evinger,3
Allen Crowder,3
Dan Moret,3
Benito Lopez,3
Corey Hill,3
Miguel Baeza,3
Jamahal Hill,3
Ricardo Romero,3
Hans Stringer,3
Pawel Pawlak,3
Roman Salazar,3
Ron Stallings,3
Rob Broughton,3
Clay Harvison,3
Karol Rosa,3
Rodolfo Vieira,3
Mallory Martin,3
Elvis Mutapcic,3
Jocelyn Jones-Lybarger,3
Reginaldo Vieira,3
Charles McCarthy,3
Diego Saraiva,3
Dmitrii Smoliakov,3
Michael Trizano,3
Carlo Pedersoli Jr.,3
Nathan Coy,3
Augusto Mendes,3
Julian Marquez,3
Nate Landwehr,3
Cole Escovedo,3
Shamar Bailey,3
Nick Pace,3
Chris Cope,3
Darrell Montague,3
Brandon Royval,3
Anderson Dos Santos,3
Spike Carlyle,3
Mackens Semerzier,3
Aaron Rosa,3
Aaron Phillips,3
Niklas Backstrom,3
Jeff Curran,3
Kamal Shalorus,3
Jason Miller,3
Jake Hecht,3
Bibulatov Magomed,3
Wuliji Buren,3
Josh Haynes,3
Brad Imes,3
Assuerio Silva,3
Tom Aspinall,3
Darrick Minner,3
Carlos Eduardo Rocha,3
David Michaud,3
Raphael Pessoa,3
Royston Wee,3
Damacio Page,3
Carlo Prater,3
Don'Tale Mayes,3
Geraldo de Freitas,3
David Terrell,3
Josh Stansbury,3
Adam Wieczorek,3
Joseph Morales,3
Damian Grabowski,3
Branden Lee Hinkle,3
Jason Von Flue,3
Rob MacDonald,3
Gideon Ray,3
Edwin DeWees,3
Miranda Granger,3
Jeff Hougland,3
Ruan Potts,3
Jake Lindsey,3
Roger Narvaez,3
Marcus LeVesseur,3
Henry Martinez,3
Jared Papazian,3
Simeon Thoresen,3
Chris Daukaus,3
Maxim Grishin,3
Renato Verissimo,3
Mike Kyle,3
Bojan Mihajlovic,3
Kalindra Faria,3
Robert Sanchez,3
Alex Karalexis,3
Eduardo Garagorri,3
Sean Soriano,3
Wellington Turman,3
Andy Enz,3
Anton Kuivanen,3
Miles Johns,3
Da-Un Jung,3
Liana Jojua,3
Issei Tamura,3
Steve Berger,3
Benji Radach,3
Gil Castillo,3
Christian Colombo,3
Jamie Moyle,3
Marcel Fortuna,3
Bobby Nash,3
Mark Weir,3
