lutador,grau
Geane Herrera,4
John Lineker,16
Kyoji Horiguchi,8
Marcos Vinicius,3
Tim Elliott,15
Antonio Silva,9
Augusto Sakai,5
Ben Rothwell,15
Brock Lesnar,7
Francis Ngannou,11
Frank Mir,24
Jairzinho Rozenstruik,7
Junior Dos Santos,20
Sergei Pavlovich,3
Stipe Miocic,14
Aljamain Sterling,15
Augusto Mendes,3
Bryan Caraway,10
Cody Gibson,4
Cory Sandhagen,8
Hugo Viana,6
Jimmie Rivera,10
Johnny Eduardo,7
Marlon Moraes,8
Pedro Munhoz,14
Petr Yan,8
Raphael Assuncao,14
Renan Barao,15
Takeya Mizugaki,14
Dan Henderson,15
Allan Goes,1
John Gunther,2
Allan Zuniga,1
Leonard Garcia,8
Allen Berube,1
Allen Crowder,3
Justin Willis,5
Alonzo Menifield,4
Ovince Saint Preux,22
Paul Craig,10
Vinicius Moreira,4
Alptekin Ozkilic,4
Ben Nguyen,7
Darren Uyenoyama,4
Louis Smolka,15
Devin Powell,4
Alvaro Herrera Mendoza,4
Vernon Ramos Ho,1
Vicente Luque,14
Alvin Robinson,4
Mark Bocek,13
Nate Diaz,23
Amanda Cooper,6
Angela Magana,3
Anna Elmose,2
Ashley Yoder,8
Cynthia Calvillo,9
Mackenzie Dern,6
Amanda Lemos,4
Inoue Mizuki,2
Leslie Smith,7
Miranda Granger,3
Cat Zingano,7
Amanda Nunes,13
Cristiane Justino,7
Felicia Spencer,4
Germaine de Randamie,8
Holly Holm,11
Megan Anderson,6
Miesha Tate,9
Raquel Pennington,11
Shayna Baszler,2
Sheila Gaff,2
Valentina Shevchenko,10
Amanda Ribas,5
Marina Rodriguez,6
Chuck Liddell,18
Amar Suloev,2
Phil Baroni,8
Don Frye,8
Charlie Brenneman,11
Amilcar Alves,2
Malcolm Gordon,2
Amir Albazi,2
Zhalgas Zhumagulov,2
Amir Sadollah,11
Brad Blackburn,5
CB Dollaway,20
DaMarques Johnson,10
Dong Hyun Kim,18
Duane Ludwig,9
Johny Hendricks,20
Jorge Lopez,2
Andre Ewell,7
Anderson Dos Santos,3
Martin Day,4
Nad Narimani,4
Anderson Silva,22
Chael Sonnen,13
Derek Brunson,18
Forrest Griffin,11
Israel Adesanya,10
Jared Cannonier,11
Nate Marquardt,25
Nick Diaz,14
Rich Franklin,17
Stephan Bonnar,13
Travis Lutter,6
Uriah Hall,15
Vitor Belfort,23
Chris Gutierrez,6
Jonathan Martinez,7
Marlon Vera,16
Nathaniel Wood,6
Andre Fili,16
Bryce Mitchell,5
Calvin Kattar,9
Charles Jourdain,5
Dennis Bermudez,17
Felipe Arantes,12
Gabriel Benitez,10
Godofredo Pepey,11
Hacran Dias,8
Jeremy Larsen,3
Michael Johnson,24
Myles Jury,12
Sheymon Moraes,5
Sodiq Yusuff,4
Andre Gusmao,2
Krzysztof Soszynski,8
Antonio Arroyo,2
Andre Muniz,2
Bartosz Fabinski,5
Pat Miletich,10
Andre Pederneiras,1
Gary Goodridge,7
Andre Roberts,2
Ron Waterman,4
Luke Sanders,7
Montel Jackson,6
Sean O'Malley,5
Su Mudaerji,4
Anthony Njokuani,8
Andre Winner,6
Dennis Siver,21
Nik Lentz,23
Rafaello Oliveira,8
Rolando Delgado,3
Ashlee Evans-Smith,8
Andrea Lee,6
Joanne Calderwood,12
Lauren Murphy,10
Montana De La Rosa,7
Roxanne Modafferi,10
Veronica Macedo,5
Modestas Bukauskas,2
Andreas Michailidis,1
Andreas Stahl,2
Santiago Ponzinibbio,12
Brendan Schaub,11
Ian Freeman,6
Jake O'Brien,7
Josh Barnett,10
Justin Eilers,4
Marcin Tybura,13
Marcio Cruz,4
Paul Buentello,6
Pedro Rizzo,12
Philipe Lins,2
Ricco Rodriguez,7
Shamil Abdurakhimov,8
Tai Tuivasa,8
Tanner Boser,5
Tim Sylvia,11
Wesley Correira,4
Ivan Salaverry,7
Andrei Semenov,2
Ricardo Almeida,11
Cezar Ferreira,15
Andrew Craig,7
Luke Barnatt,6
Lyman Good,6
Rafael Natal,17
Gregor Gillespie,7
Andrew Holbrook,5
Joaquim Silva,6
Ramsey Nijem,10
Thibault Gouti,6
Andrew Sanchez,9
Khalil Rountree Jr.,10
