R_fighter;B_fighter;Winner;win_by;peso_forca_vitoria
Nordine Taleb;Vik Grujic;Nordine Taleb;Decision - Unanimous;1.0
Richard Walsh;Chris Indich;Richard Walsh;Decision - Unanimous;1.0
Ramsey Nijem;Beneil Dariush;Ramsey Nijem;KO/TKO;0.5
Jared Rosholt;Daniel Omielanczuk;Jared Rosholt;Decision - Unanimous;1.0
Clay Guida;Tatsuya Kawajiri;Clay Guida;Decision - Unanimous;1.0
Thales Leites;Trevor Smith;Thales Leites;KO/TKO;0.5
Rani Yahya;Johnny Bedford;;Could Not Continue;2.0
Alan Omer;Jim Alers;Jim Alers;Decision - Split;1.0
Antonio Rodrigo Nogueira;Roy Nelson;Roy Nelson;KO/TKO;0.5
John Howard;Ryan LaFlare;Ryan LaFlare;Decision - Unanimous;1.0
Cezar Ferreira;CB Dollaway;CB Dollaway;KO/TKO;0.5
Leonardo Santos;Norman Parke;;Decision - Majority;1.0
Ronny Markes;Thiago Santos;Thiago Santos;KO/TKO;0.5
Fabio Maldonado;Gian Villante;Fabio Maldonado;Decision - Unanimous;1.0
Jussier Formiga;Scott Jorgensen;Jussier Formiga;Submission;0.5
Rony Jason;Steven Siler;Rony Jason;KO/TKO;0.5
Mauricio Rua;Dan Henderson;Dan Henderson;KO/TKO;0.5
Michel Prazeres;Mairbek Taisumov;Michel Prazeres;Decision - Unanimous;1.0
Thiago Perpetuo;Kenny Robertson;Kenny Robertson;Submission;0.5
Godofredo Pepey;Noad Lahat;Godofredo Pepey;KO/TKO;0.5
Francimar Barroso;Hans Stringer;Hans Stringer;Decision - Split;1.0
Carlos Condit;Tyron Woodley;Tyron Woodley;KO/TKO;0.5
Ovince Saint Preux;Nikita Krylov;Ovince Saint Preux;Submission;0.5
Kelvin Gastelum;Rick Story;Kelvin Gastelum;Decision - Split;1.0
Johny Hendricks;Robbie Lawler;Johny Hendricks;Decision - Unanimous;1.0
Dennis Bermudez;Jimy Hettes;Dennis Bermudez;KO/TKO;0.5
Raquel Pennington;Jessica Andrade;Jessica Andrade;Decision - Split;1.0
Diego Sanchez;Myles Jury;Myles Jury;Decision - Unanimous;1.0
Jake Shields;Hector Lombard;Hector Lombard;Decision - Unanimous;1.0
Robert McDaniel;Sean Strickland;Sean Strickland;Submission;0.5
Will Campuzano;Justin Scoggins;Justin Scoggins;Decision - Unanimous;1.0
Sean Spencer;Alex Garcia;Alex Garcia;Decision - Split;1.0
Daniel Pineda;Robert Whiteford;Robert Whiteford;Decision - Unanimous;1.0
Renee Forte;Francisco Trevino;Francisco Trevino;Decision - Unanimous;1.0
Luke Barnatt;Mats Nilsson;Luke Barnatt;KO/TKO;0.5
Alexander Gustafsson;Jimi Manuwa;Alexander Gustafsson;KO/TKO;0.5
Brad Pickett;Neil Seery;Brad Pickett;Decision - Unanimous;1.0
Gunnar Nelson;Omari Akhmedov;Gunnar Nelson;Submission;0.5
Cyrille Diabate;Ilir Latifi;Ilir Latifi;Submission;0.5
Brad Scott;Claudio Silva;Claudio Silva;Decision - Unanimous;1.0
Igor Araujo;Danny Mitchell;Igor Araujo;Decision - Unanimous;1.0
Michael Johnson;Melvin Guillard;Michael Johnson;Decision - Unanimous;1.0
Phil Harris;Louis Gaudinot;;Overturned;2.0
Albert Cheng;Anying Wang;Anying Wang;TKO - Doctor's Stoppage;0.5
Hatsu Hioki;Ivan Menjivar;Hatsu Hioki;Decision - Unanimous;1.0
Sai Wang;Zhang Lipeng;Zhang Lipeng;Decision - Split;1.0
Kazuki Tokudome;Yui Chul Nam;Yui Chul Nam;Decision - Split;1.0
Dong Hyun Kim;John Hathaway;Dong Hyun Kim;KO/TKO;0.5
Jumabieke Tuerxun;Mark Eddiva;Mark Eddiva;Decision - Unanimous;1.0
Nam Phan;Vaughan Lee;Vaughan Lee;Decision - Unanimous;1.0
Matt Mitrione;Shawn Jordan;Matt Mitrione;KO/TKO;0.5
Cody Gibson;Aljamain Sterling;Aljamain Sterling;Decision - Unanimous;1.0
Alexis Davis;Jessica Eye;Alexis Davis;Decision - Split;1.0
Robert Whittaker;Stephen Thompson;Stephen Thompson;KO/TKO;0.5
Raphael Assuncao;Pedro Munhoz;Raphael Assuncao;Decision - Unanimous;1.0
Rory MacDonald;Demian Maia;Rory MacDonald;Decision - Unanimous;1.0
Mike Pyle;TJ Waldburger;Mike Pyle;KO/TKO;0.5
Daniel Cormier;Patrick Cummins;Daniel Cormier;KO/TKO;0.5
Ronda Rousey;Sara McMann;Ronda Rousey;KO/TKO;0.5
Rafaello Oliveira;Erik Koch;Erik Koch;KO/TKO;0.5
Zach Makovsky;Josh Sampo;Zach Makovsky;Decision - Unanimous;1.0
Ernest Chavez;Yosdenis Cedeno;Ernest Chavez;Decision - Split;1.0
Lyoto Machida;Gegard Mousasi;Lyoto Machida;Decision - Unanimous;1.0
Erick Silva;Takenori Sato;Erick Silva;KO/TKO;0.5
Viscardi Andrade;Nicholas Musoke;Nicholas Musoke;Decision - Unanimous;1.0
Rodrigo Damm;Ivan Jorge;Rodrigo Damm;Decision - Unanimous;1.0
Francisco Trinaldo;Jesse Ronson;Francisco Trinaldo;Decision - Split;1.0
Charles Oliveira;Andy Ogle;Charles Oliveira;Submission;0.5
Jacare Souza;Francis Carmont;Jacare Souza;Decision - Unanimous;1.0
Cristiano Marcello;Joe Proctor;Joe Proctor;Decision - Unanimous;1.0
Iuri Alcantara;Wilson Reis;Iuri Alcantara;Decision - Split;1.0
Ildemar Alcantara;Albert Tumenov;Ildemar Alcantara;Decision - Split;1.0
Felipe Arantes;Maximo Blanco;Felipe Arantes;Decision - Unanimous;1.0
Douglas Silva de Andrade;Zubaira Tukhugov;Zubaira Tukhugov;Decision - Unanimous;1.0
Renan Barao;Urijah Faber;Renan Barao;KO/TKO;0.5
Chris Cariaso;Danny Martinez;Chris Cariaso;Decision - Unanimous;1.0
Jamie Varner;Abel Trujillo;Abel Trujillo;KO/TKO;0.5
Jose Aldo;Ricardo Lamas;Jose Aldo;Decision - Unanimous;1.0
John Lineker;Ali Bagautinov;Ali Bagautinov;Decision - Unanimous;1.0
John Makdessi;Alan Patrick;Alan Patrick;Decision - Unanimous;1.0
Frank Mir;Alistair Overeem;Alistair Overeem;Decision - Unanimous;1.0
Nick Catone;Tom Watson;Nick Catone;Decision - Split;1.0
Clint Hester;Andy Enz;Clint Hester;Decision - Unanimous;1.0
Al Iaquinta;Kevin Lee;Al Iaquinta;Decision - Unanimous;1.0
Anthony Rocco Martin;Rashid Magomedov;Rashid Magomedov;Decision - Unanimous;1.0
Neil Magny;Gasan Umalatov;Neil Magny;Decision - Unanimous;1.0
Chico Camus;Yaotzin Meza;;Overturned;2.0
Eddie Wineland;Yves Jabouin;Eddie Wineland;KO/TKO;0.5
Stipe Miocic;Gabriel Gonzaga;Stipe Miocic;Decision - Unanimous;1.0
Donald Cerrone;Adriano Martins;Donald Cerrone;KO/TKO;0.5
Benson Henderson;Josh Thomson;Benson Henderson;Decision - Split;1.0
Ramiro Hernandez;Hugo Viana;Hugo Viana;Decision - Unanimous;1.0
Darren Elkins;Jeremy Stephens;Jeremy Stephens;Decision - Unanimous;1.0
Alex Caceres;Sergio Pettis;Alex Caceres;Submission;0.5
Daron Cruickshank;Mike Rio;Daron Cruickshank;KO/TKO;0.5
George Sullivan;Mike Rhodes;George Sullivan;Decision - Unanimous;1.0
Walt Harris;Nikita Krylov;Nikita Krylov;KO/TKO;0.5
Luke Rockhold;Constantinos Philippou;Luke Rockhold;KO/TKO;0.5
Isaac Vallie-Flagg;Elias Silverio;Elias Silverio;Decision - Unanimous;1.0
John Moraga;Dustin Ortiz;John Moraga;Decision - Split;1.0
TJ Dillashaw;Mike Easton;TJ Dillashaw;Decision - Unanimous;1.0
Yoel Romero;Derek Brunson;Yoel Romero;KO/TKO;0.5
Ramsey Nijem;Justin Edwards;Ramsey Nijem;Decision - Unanimous;1.0
Cole Miller;Sam Sicilia;Cole Miller;Submission;0.5
Lorenz Larkin;Brad Tavares;Brad Tavares;Decision - Unanimous;1.0
Vinc Pichel;Garett Whiteley;Vinc Pichel;Decision - Unanimous;1.0
Alptekin Ozkilic;Louis Smolka;Louis Smolka;Decision - Unanimous;1.0
Trevor Smith;Brian Houston;Trevor Smith;Decision - Split;1.0
Charlie Brenneman;Beneil Dariush;Beneil Dariush;Submission;0.5
Mairbek Taisumov;Tae Hyun Bang;Mairbek Taisumov;Decision - Unanimous;1.0
Kiichi Kunimoto;Luiz Dutra;Kiichi Kunimoto;DQ;2.0
Katsunori Kikuno;Quinn Mulhern;Katsunori Kikuno;Decision - Unanimous;1.0
Royston Wee;Dave Galera;Royston Wee;Decision - Unanimous;1.0
Tarec Saffiedine;Hyun Gyu Lim;Tarec Saffiedine;Decision - Unanimous;1.0
Tatsuya Kawajiri;Sean Soriano;Tatsuya Kawajiri;Submission;0.5
Max Holloway;Will Chope;Max Holloway;KO/TKO;0.5
Kyung Ho Kang;Shunichi Shimizu;Kyung Ho Kang;Submission;0.5
Dustin Kimura;Jon Delos Reyes;Dustin Kimura;Submission;0.5
Leandro Issa;Russell Doane;Russell Doane;Submission;0.5
Dustin Poirier;Diego Brandao;Dustin Poirier;KO/TKO;0.5
Chris Leben;Uriah Hall;Uriah Hall;TKO - Doctor's Stoppage;0.5
Josh Barnett;Travis Browne;Travis Browne;KO/TKO;0.5
Gleison Tibau;Michael Johnson;Michael Johnson;KO/TKO;0.5
Chris Weidman;Anderson Silva;Chris Weidman;KO/TKO;0.5
Ronda Rousey;Miesha Tate;Ronda Rousey;Submission;0.5
Jim Miller;Fabricio Camoes;Jim Miller;Submission;0.5
Dennis Siver;Manvel Gamburyan;;Overturned;2.0
William Macario;Bobby Voelker;William Macario;Decision - Unanimous;1.0
Robert Peralta;Estevan Payan;Robert Peralta;KO/TKO;0.5
John Howard;Siyar Bahadurzada;John Howard;Decision - Unanimous;1.0
Demetrious Johnson;Joseph Benavidez;Demetrious Johnson;KO/TKO;0.5
Court McGee;Ryan LaFlare;Ryan LaFlare;Decision - Unanimous;1.0
Danny Castillo;Edson Barboza;Edson Barboza;Decision - Majority;1.0
Bobby Green;Pat Healy;Bobby Green;Decision - Unanimous;1.0
Chad Mendes;Nik Lentz;Chad Mendes;Decision - Unanimous;1.0
Urijah Faber;Michael McDonald;Urijah Faber;Submission;0.5
Scott Jorgensen;Zach Makovsky;Zach Makovsky;Decision - Unanimous;1.0
Joe Lauzon;Mac Danzig;Joe Lauzon;Decision - Unanimous;1.0
Abel Trujillo;Roger Bowling;Abel Trujillo;KO/TKO;0.5
Sam Stout;Cody McKenzie;Sam Stout;Decision - Unanimous;1.0
Darren Uyenoyama;Alptekin Ozkilic;Alptekin Ozkilic;Decision - Split;1.0
Nick Ring;Caio Magalhaes;Caio Magalhaes;Decision - Unanimous;1.0
Pat Barry;Soa Palelei;Soa Palelei;KO/TKO;0.5
Takeya Mizugaki;Nam Phan;Takeya Mizugaki;Decision - Unanimous;1.0
Dylan Andrews;Clint Hester;Clint Hester;TKO - Doctor's Stoppage;0.5
Ryan Bader;Anthony Perosh;Ryan Bader;Decision - Unanimous;1.0
Mark Hunt;Antonio Silva;;Decision - Majority;1.0
Mauricio Rua;James Te Huna;Mauricio Rua;KO/TKO;0.5
Julie Kedzie;Bethe Correia;Bethe Correia;Decision - Split;1.0
Ben Wall;Alex Garcia;Alex Garcia;KO/TKO;0.5
Richie Vaculik;Justin Scoggins;Justin Scoggins;KO/TKO;0.5
Bruno Santos;Krzysztof Jotko;Krzysztof Jotko;Decision - Unanimous;1.0
Akira Corassani;Maximo Blanco;Akira Corassani;DQ;2.0
Julianna Pena;Jessica Rakoczy;Julianna Pena;KO/TKO;0.5
Rani Yahya;Tom Niinimaki;Tom Niinimaki;Decision - Split;1.0
Gray Maynard;Nate Diaz;Nate Diaz;KO/TKO;0.5
Chris Holdsworth;Davey Grant;Chris Holdsworth;Submission;0.5
Jessamyn Duke;Peggy Morgan;Jessamyn Duke;Decision - Unanimous;1.0
Roxanne Modafferi;Raquel Pennington;Raquel Pennington;Decision - Unanimous;1.0
Sean Spencer;Drew Dober;Sean Spencer;Decision - Unanimous;1.0
Josh Sampo;Ryan Benoit;Josh Sampo;Submission;0.5
Jared Rosholt;Walt Harris;Jared Rosholt;Decision - Unanimous;1.0
Josh Koscheck;Tyron Woodley;Tyron Woodley;KO/TKO;0.5
Georges St-Pierre;Johny Hendricks;Georges St-Pierre;Decision - Split;1.0
Rashad Evans;Chael Sonnen;Rashad Evans;KO/TKO;0.5
Tim Elliott;Ali Bagautinov;Ali Bagautinov;Decision - Unanimous;1.0
Brian Ebersole;Rick Story;Rick Story;Decision - Unanimous;1.0
Rory MacDonald;Robbie Lawler;Robbie Lawler;Decision - Split;1.0
Ed Herman;Thales Leites;Thales Leites;Decision - Unanimous;1.0
Donald Cerrone;Evan Dunham;Donald Cerrone;Submission;0.5
Jason High;Anthony Lapsley;Jason High;Decision - Unanimous;1.0
Will Campuzano;Sergio Pettis;Sergio Pettis;Decision - Unanimous;1.0
Erik Perez;Edwin Figueroa;Erik Perez;Decision - Unanimous;1.0
Cody Donovan;Gian Villante;Gian Villante;KO/TKO;0.5
Thiago Perpetuo;Omari Akhmedov;Omari Akhmedov;KO/TKO;0.5
Paulo Thiago;Brandon Thatch;Brandon Thatch;KO/TKO;0.5
Cezar Ferreira;Daniel Sarafian;Cezar Ferreira;Decision - Split;1.0
Rafael Cavalcante;Igor Pokrajac;Rafael Cavalcante;KO/TKO;0.5
Rony Jason;Jeremy Stephens;Jeremy Stephens;KO/TKO;0.5
Vitor Belfort;Dan Henderson;Vitor Belfort;KO/TKO;0.5
Santiago Ponzinibbio;Ryan LaFlare;Ryan LaFlare;Decision - Unanimous;1.0
Thiago Tavares;Justin Salas;Thiago Tavares;Submission;0.5
Godofredo Pepey;Sam Sicilia;Sam Sicilia;KO/TKO;0.5
Adriano Martins;Daron Cruickshank;Adriano Martins;Submission;0.5
Jose Maria;Dustin Ortiz;Dustin Ortiz;KO/TKO;0.5
Liz Carmouche;Alexis Davis;Alexis Davis;Decision - Unanimous;1.0
Colton Smith;Michael Chiesa;Michael Chiesa;Submission;0.5
Tim Kennedy;Rafael Natal;Tim Kennedy;KO/TKO;0.5
Dennis Bermudez;Steven Siler;Dennis Bermudez;Decision - Unanimous;1.0
Bobby Green;James Krause;Bobby Green;KO/TKO;0.5
Jorge Masvidal;Rustam Khabilov;Rustam Khabilov;Decision - Unanimous;1.0
Ronny Markes;Yoel Romero;Yoel Romero;KO/TKO;0.5
George Roop;Francisco Rivera;Francisco Rivera;KO/TKO;0.5
Derek Brunson;Brian Houston;Derek Brunson;Submission;0.5
Amanda Nunes;Germaine de Randamie;Amanda Nunes;KO/TKO;0.5
Chris Camozzi;Lorenz Larkin;Lorenz Larkin;Decision - Unanimous;1.0
Neil Magny;Seth Baczynski;Seth Baczynski;Decision - Unanimous;1.0
Yves Edwards;Yancy Medeiros;;Overturned;2.0
Phil Harris;John Lineker;John Lineker;KO/TKO;0.5
Ross Pearson;Melvin Guillard;;Could Not Continue;2.0
Norman Parke;Jon Tuck;Norman Parke;Decision - Unanimous;1.0
Lyoto Machida;Mark Munoz;Lyoto Machida;KO/TKO;0.5
Luke Barnatt;Andrew Craig;Luke Barnatt;Submission;0.5
Al Iaquinta;Piotr Hallmann;Al Iaquinta;Decision - Unanimous;1.0
Jimi Manuwa;Ryan Jimmo;Jimi Manuwa;KO/TKO;0.5
Alessio Sakara;Nicholas Musoke;Nicholas Musoke;Submission;0.5
Jimy Hettes;Robert Whiteford;Jimy Hettes;Submission;0.5
Andy Ogle;Cole Miller;Cole Miller;Decision - Unanimous;1.0
Brad Scott;Michael Kuiper;Brad Scott;Submission;0.5
Rosi Sexton;Jessica Andrade;Jessica Andrade;Decision - Unanimous;1.0
Gabriel Gonzaga;Shawn Jordan;Gabriel Gonzaga;KO/TKO;0.5
John Dodson;Darrell Montague;John Dodson;KO/TKO;0.5
Sarah Kaufman;Jessica Eye;;Overturned;2.0
Gilbert Melendez;Diego Sanchez;Gilbert Melendez;Decision - Unanimous;1.0
Nate Marquardt;Hector Lombard;Hector Lombard;KO/TKO;0.5
Cain Velasquez;Junior Dos Santos;Cain Velasquez;KO/TKO;0.5
Tim Boetsch;CB Dollaway;Tim Boetsch;Decision - Split;1.0
Daniel Cormier;Roy Nelson;Daniel Cormier;Decision - Unanimous;1.0
TJ Waldburger;Adlan Amagov;Adlan Amagov;KO/TKO;0.5
Tony Ferguson;Mike Rio;Tony Ferguson;Submission;0.5
Jeremy Larsen;Andre Fili;Andre Fili;KO/TKO;0.5
Dustin Pague;Kyoji Horiguchi;Kyoji Horiguchi;KO/TKO;0.5
George Sotiropoulos;KJ Noons;KJ Noons;Decision - Unanimous;1.0
Raphael Assuncao;TJ Dillashaw;Raphael Assuncao;Decision - Split;1.0
Fabio Maldonado;Joey Beltran;Fabio Maldonado;Decision - Split;1.0
Ildemar Alcantara;Igor Araujo;Igor Araujo;Decision - Unanimous;1.0
Rousimar Palhares;Mike Pierce;Rousimar Palhares;Submission;0.5
Thiago Silva;Matt Hamill;Thiago Silva;Decision - Unanimous;1.0
Erick Silva;Dong Hyun Kim;Dong Hyun Kim;KO/TKO;0.5
Demian Maia;Jake Shields;Jake Shields;Decision - Split;1.0
Yan Cabral;David Mitchell;Yan Cabral;Decision - Unanimous;1.0
Iliarde Santos;Chris Cariaso;Chris Cariaso;KO/TKO;0.5
Alan Patrick;Garett Whiteley;Alan Patrick;KO/TKO;0.5
Pat Healy;Khabib Nurmagomedov;Khabib Nurmagomedov;Decision - Unanimous;1.0
Ivan Menjivar;Wilson Reis;Wilson Reis;Decision - Unanimous;1.0
Mike Ricci;Myles Jury;Myles Jury;Decision - Split;1.0
Constantinos Philippou;Francis Carmont;Francis Carmont;Decision - Unanimous;1.0
Jon Jones;Alexander Gustafsson;Jon Jones;Decision - Unanimous;1.0
Chris Clements;Stephen Thompson;Stephen Thompson;KO/TKO;0.5
Brendan Schaub;Matt Mitrione;Brendan Schaub;Submission;0.5
Renan Barao;Eddie Wineland;Renan Barao;KO/TKO;0.5
John Makdessi;Renee Forte;John Makdessi;KO/TKO;0.5
Mitch Gagnon;Dustin Kimura;Mitch Gagnon;Submission;0.5
Nandor Guelmino;Daniel Omielanczuk;Daniel Omielanczuk;KO/TKO;0.5
Michel Prazeres;Jesse Ronson;Michel Prazeres;Decision - Split;1.0
Roland Delorme;Alex Caceres;Alex Caceres;Decision - Split;1.0
Francisco Trinaldo;Piotr Hallmann;Piotr Hallmann;Submission;0.5
Rafael Natal;Tor Troeng;Rafael Natal;Decision - Unanimous;1.0
Glover Teixeira;Ryan Bader;Glover Teixeira;KO/TKO;0.5
Marcos Vinicius;Ali Bagautinov;Ali Bagautinov;KO/TKO;0.5
Yushin Okami;Jacare Souza;Jacare Souza;KO/TKO;0.5
Joseph Benavidez;Jussier Formiga;Joseph Benavidez;KO/TKO;0.5
Lucas Martins;Ramiro Hernandez;Lucas Martins;Submission;0.5
Felipe Arantes;Edimilson Souza;Edimilson Souza;Decision - Split;1.0
Joao Zeferino;Elias Silverio;Elias Silverio;Decision - Unanimous;1.0
Keith Wisniewski;Ivan Jorge;Ivan Jorge;Decision - Unanimous;1.0
Yuri Villefort;Sean Spencer;Sean Spencer;Decision - Split;1.0
Jamie Varner;Gleison Tibau;Gleison Tibau;Decision - Split;1.0
Louis Gaudinot;Tim Elliott;Tim Elliott;Decision - Unanimous;1.0
Pascal Krauss;Hyun Gyu Lim;Hyun Gyu Lim;KO/TKO;0.5
Erik Koch;Dustin Poirier;Dustin Poirier;Decision - Unanimous;1.0
Frank Mir;Josh Barnett;Josh Barnett;KO/TKO;0.5
Ben Rothwell;Brandon Vera;Ben Rothwell;KO/TKO;0.5
Chad Mendes;Clay Guida;Chad Mendes;KO/TKO;0.5
Benson Henderson;Anthony Pettis;Anthony Pettis;Submission;0.5
Soa Palelei;Nikita Krylov;Soa Palelei;KO/TKO;0.5
Ryan Couture;Al Iaquinta;Al Iaquinta;Decision - Unanimous;1.0
Jared Hamman;Magnus Cedenblad;Magnus Cedenblad;Submission;0.5
Chico Camus;Kyung Ho Kang;Chico Camus;Decision - Unanimous;1.0
Justin Edwards;Brandon Thatch;Brandon Thatch;KO/TKO;0.5
Court McGee;Robert Whittaker;Court McGee;Decision - Split;1.0
Takeya Mizugaki;Erik Perez;Takeya Mizugaki;Decision - Split;1.0
Dylan Andrews;Papy Abedi;Dylan Andrews;KO/TKO;0.5
Kelvin Gastelum;Brian Melancon;Kelvin Gastelum;Submission;0.5
Carlos Condit;Martin Kampmann;Carlos Condit;KO/TKO;0.5
Brad Tavares;Robert McDaniel;Brad Tavares;Decision - Unanimous;1.0
Donald Cerrone;Rafael Dos Anjos;Rafael Dos Anjos;Decision - Unanimous;1.0
James Head;Jason High;Jason High;Submission;0.5
Darren Elkins;Hatsu Hioki;Darren Elkins;Decision - Unanimous;1.0
Roger Bowling;Abel Trujillo;;Could Not Continue;2.0
Zak Cummings;Ben Alloway;Zak Cummings;Submission;0.5
Alistair Overeem;Travis Browne;Travis Browne;KO/TKO;0.5
Urijah Faber;Iuri Alcantara;Urijah Faber;Decision - Unanimous;1.0
Brad Pickett;Michael McDonald;Michael McDonald;Submission;0.5
Mauricio Rua;Chael Sonnen;Chael Sonnen;Submission;0.5
Conor McGregor;Max Holloway;Conor McGregor;Decision - Unanimous;1.0
Matt Brown;Mike Pyle;Matt Brown;KO/TKO;0.5
Uriah Hall;John Howard;John Howard;Decision - Split;1.0
Joe Lauzon;Michael Johnson;Michael Johnson;Decision - Unanimous;1.0
Manvel Gamburyan;Cole Miller;Manvel Gamburyan;Decision - Unanimous;1.0
Cody Donovan;Ovince Saint Preux;Ovince Saint Preux;KO/TKO;0.5
Diego Brandao;Daniel Pineda;Diego Brandao;Decision - Unanimous;1.0
Ramsey Nijem;James Vick;James Vick;Submission;0.5
Mike Brown;Steven Siler;Steven Siler;KO/TKO;0.5
John Lineker;Jose Maria;John Lineker;KO/TKO;0.5
Cezar Ferreira;Thiago Santos;Cezar Ferreira;Submission;0.5
Vinny Magalhaes;Anthony Perosh;Anthony Perosh;KO/TKO;0.5
Jose Aldo;Chan Sung Jung;Jose Aldo;KO/TKO;0.5
Thales Leites;Tom Watson;Thales Leites;Decision - Unanimous;1.0
Lyoto Machida;Phil Davis;Phil Davis;Decision - Unanimous;1.0
Amanda Nunes;Sheila Gaff;Amanda Nunes;KO/TKO;0.5
Sergio Moraes;Neil Magny;Sergio Moraes;Submission;0.5
Ian McCall;Iliarde Santos;Ian McCall;Decision - Unanimous;1.0
Ednaldo Oliveira;Francimar Barroso;Francimar Barroso;Decision - Unanimous;1.0
Viscardi Andrade;Bristol Marunde;Viscardi Andrade;KO/TKO;0.5
Rani Yahya;Josh Clopton;Rani Yahya;Decision - Unanimous;1.0
Yves Edwards;Daron Cruickshank;Daron Cruickshank;Decision - Split;1.0
Demetrious Johnson;John Moraga;Demetrious Johnson;Submission;0.5
Robbie Lawler;Bobby Voelker;Robbie Lawler;KO/TKO;0.5
Michael Chiesa;Jorge Masvidal;Jorge Masvidal;Submission;0.5
Liz Carmouche;Jessica Andrade;Liz Carmouche;KO/TKO;0.5
Danny Castillo;Tim Means;Danny Castillo;Decision - Unanimous;1.0
Rory MacDonald;Jake Ellenberger;Rory MacDonald;Decision - Unanimous;1.0
Mac Danzig;Melvin Guillard;Melvin Guillard;KO/TKO;0.5
Julie Kedzie;Germaine de Randamie;Germaine de Randamie;Decision - Split;1.0
Ed Herman;Trevor Smith;Ed Herman;Decision - Split;1.0
John Albert;Yaotzin Meza;Yaotzin Meza;Submission;0.5
Aaron Riley;Justin Salas;Justin Salas;Decision - Split;1.0
Mark Munoz;Tim Boetsch;Mark Munoz;Decision - Unanimous;1.0
Cub Swanson;Dennis Siver;Cub Swanson;KO/TKO;0.5
Chris Leben;Andrew Craig;Andrew Craig;Decision - Split;1.0
Norman Parke;Kazuki Tokudome;Norman Parke;Decision - Unanimous;1.0
Anderson Silva;Chris Weidman;Chris Weidman;KO/TKO;0.5
Frankie Edgar;Charles Oliveira;Frankie Edgar;Decision - Unanimous;1.0
Gabriel Gonzaga;Dave Herman;Gabriel Gonzaga;KO/TKO;0.5
Tim Kennedy;Roger Gracie;Tim Kennedy;Decision - Unanimous;1.0
Seth Baczynski;Brian Melancon;Brian Melancon;KO/TKO;0.5
Mike Pierce;David Mitchell;Mike Pierce;KO/TKO;0.5
Edson Barboza;Rafaello Oliveira;Edson Barboza;KO/TKO;0.5
Ryan Jimmo;Igor Pokrajac;Ryan Jimmo;Decision - Unanimous;1.0
Pat Barry;Shawn Jordan;Shawn Jordan;KO/TKO;0.5
Roy Nelson;Stipe Miocic;Stipe Miocic;Decision - Unanimous;1.0
Sam Stout;James Krause;James Krause;Submission;0.5
Rashad Evans;Dan Henderson;Rashad Evans;Decision - Split;1.0
Alexis Davis;Rosi Sexton;Alexis Davis;Decision - Unanimous;1.0
Sean Pierson;Kenny Robertson;Sean Pierson;Decision - Majority;1.0
Jake Shields;Tyron Woodley;Jake Shields;Decision - Split;1.0
Roland Delorme;Edwin Figueroa;Roland Delorme;Decision - Unanimous;1.0
Yves Jabouin;Dustin Pague;Yves Jabouin;Decision - Split;1.0
Mitch Clarke;John Maguire;Mitch Clarke;Decision - Unanimous;1.0
Thiago Silva;Rafael Cavalcante;Thiago Silva;KO/TKO;0.5
William Macario;Leonardo Santos;Leonardo Santos;Submission;0.5
Erick Silva;Jason High;Erick Silva;Submission;0.5
Daniel Sarafian;Eddie Mendez;Daniel Sarafian;Submission;0.5
Rony Jason;Mike Wilkinson;Rony Jason;Submission;0.5
Raphael Assuncao;Vaughan Lee;Raphael Assuncao;Submission;0.5
Godofredo Pepey;Felipe Arantes;Felipe Arantes;KO/TKO;0.5
Antonio Rodrigo Nogueira;Fabricio Werdum;Fabricio Werdum;Submission;0.5
Ildemar Alcantara;Leandro Silva;Ildemar Alcantara;Decision - Unanimous;1.0
Antonio Braga Neto;Anthony Smith;Antonio Braga Neto;Submission;0.5
Rodrigo Damm;Mizuto Hirota;Rodrigo Damm;Decision - Split;1.0
Caio Magalhaes;Karlos Vemola;Caio Magalhaes;Submission;0.5
Cain Velasquez;Antonio Silva;Cain Velasquez;KO/TKO;0.5
Junior Dos Santos;Mark Hunt;Junior Dos Santos;KO/TKO;0.5
Glover Teixeira;James Te Huna;Glover Teixeira;Submission;0.5
Donald Cerrone;KJ Noons;Donald Cerrone;Decision - Unanimous;1.0
Gray Maynard;TJ Grant;TJ Grant;KO/TKO;0.5
Colton Smith;Robert Whittaker;Robert Whittaker;KO/TKO;0.5
Mike Pyle;Rick Story;Mike Pyle;Decision - Split;1.0
Dennis Bermudez;Max Holloway;Dennis Bermudez;Decision - Split;1.0
Khabib Nurmagomedov;Abel Trujillo;Khabib Nurmagomedov;Decision - Unanimous;1.0
Jeremy Stephens;Estevan Payan;Jeremy Stephens;Decision - Unanimous;1.0
Brian Bowles;George Roop;George Roop;KO/TKO;0.5
Stephen Thompson;Nah-Shon Burrell;Stephen Thompson;Decision - Unanimous;1.0
Paulo Thiago;Michel Prazeres;Paulo Thiago;Decision - Unanimous;1.0
Rafael Dos Anjos;Evan Dunham;Rafael Dos Anjos;Decision - Unanimous;1.0
Vitor Belfort;Luke Rockhold;Vitor Belfort;KO/TKO;0.5
Jacare Souza;Chris Camozzi;Jacare Souza;Submission;0.5
Rafael Natal;Joao Zeferino;Rafael Natal;Decision - Unanimous;1.0
Gleison Tibau;John Cholish;Gleison Tibau;Submission;0.5
Hacran Dias;Nik Lentz;Nik Lentz;Decision - Unanimous;1.0
Francisco Trinaldo;Mike Rio;Francisco Trinaldo;Submission;0.5
