R_fighter;B_fighter;Fight_type;win_by;peso_forca_vitoria
Kevin Ferguson;Houston Alexander;Catch Weight Bout;Decision - Unanimous;1.0
Roy Nelson;Brendan Schaub;Ultimate Fighter 10 Heavyweight Tournament Title Bout;KO/TKO;0.5
Jon Madsen;Justin Wren;Heavyweight Bout;Decision - Split;1.0
John Howard;Dennis Hallman;Welterweight Bout;KO/TKO;0.5
Mark Bocek;Joe Brammer;Lightweight Bout;Submission;0.5
Rogerio Nogueira;Luiz Cane;Light Heavyweight Bout;KO/TKO;0.5
Paulo Thiago;Jacob Volkmann;Welterweight Bout;Decision - Unanimous;1.0
Ben Saunders;Marcus Davis;Welterweight Bout;KO/TKO;0.5
Kendall Grove;Jake Rosholt;Middleweight Bout;Submission;0.5
Josh Koscheck;Anthony Johnson;Welterweight Bout;Submission;0.5
Brian Foster;Brock Larson;Welterweight Bout;KO/TKO;0.5
Amir Sadollah;Phil Baroni;Welterweight Bout;Decision - Unanimous;1.0
Caol Uno;Fabricio Camoes;Lightweight Bout;Decision - Majority;1.0
George Sotiropoulos;Jason Dent;Lightweight Bout;Submission;0.5
Randy Couture;Brandon Vera;Light Heavyweight Bout;Decision - Unanimous;1.0
Terry Etim;Shannon Gugerty;Lightweight Bout;Submission;0.5
Michael Bisping;Denis Kang;Middleweight Bout;KO/TKO;0.5
Nick Osipczak;Matthew Riddle;Welterweight Bout;KO/TKO;0.5
John Hathaway;Paul Taylor;Welterweight Bout;Decision - Unanimous;1.0
Matt Brown;James Wilks;Welterweight Bout;KO/TKO;0.5
Ross Pearson;Aaron Riley;Lightweight Bout;TKO - Doctor's Stoppage;0.5
Dan Hardy;Mike Swick;Welterweight Bout;Decision - Unanimous;1.0
Alexander Gustafsson;Jared Hamman;Light Heavyweight Bout;KO/TKO;0.5
Dennis Siver;Paul Kelly;Lightweight Bout;KO/TKO;0.5
Andre Winner;Rolando Delgado;Lightweight Bout;KO/TKO;0.5
Anthony Johnson;Yoshiyuki Yoshida;Welterweight Bout;KO/TKO;0.5
Ryan Bader;Eric Schafer;Light Heavyweight Bout;Decision - Unanimous;1.0
Joe Stevenson;Spencer Fisher;Lightweight Bout;KO/TKO;0.5
Chael Sonnen;Yushin Okami;Middleweight Bout;Decision - Unanimous;1.0
Gleison Tibau;Josh Neer;Lightweight Bout;Decision - Unanimous;1.0
Pat Barry;Antoni Hardonk;Heavyweight Bout;KO/TKO;0.5
Cain Velasquez;Ben Rothwell;Heavyweight Bout;KO/TKO;0.5
Stefan Struve;Chase Gormley;Heavyweight Bout;Submission;0.5
Jorge Rivera;Rob Kimmons;Middleweight Bout;KO/TKO;0.5
Kyle Kingsbury;Razak Al-Hassan;Light Heavyweight Bout;Decision - Split;1.0
Josh Koscheck;Frank Trigg;Welterweight Bout;KO/TKO;0.5
Junior Dos Santos;Mirko Filipovic;Heavyweight Bout;KO/TKO;0.5
Tyson Griffin;Hermes Franca;Lightweight Bout;KO/TKO;0.5
Vitor Belfort;Rich Franklin;Catch Weight Bout;KO/TKO;0.5
Jim Miller;Steve Lopez;Lightweight Bout;KO/TKO;0.5
Efrain Escudero;Cole Miller;Lightweight Bout;KO/TKO;0.5
Paul Daley;Martin Kampmann;Welterweight Bout;KO/TKO;0.5
Nik Lentz;Rafaello Oliveira;Lightweight Bout;Decision - Unanimous;1.0
Tomasz Drwal;Drew McFedries;Middleweight Bout;Submission;0.5
