R_fighter;B_fighter;Fight_type;win_by;peso_forca_vitoria
Adrian Yanez;Gustavo Lopez;Bantamweight Bout;KO/TKO;0.5
Trevin Giles;Roman Dolidze;Middleweight Bout;Decision - Unanimous;1.0
Tai Tuivasa;Harry Hunsucker;Heavyweight Bout;KO/TKO;0.5
Cheyanne Buys;Montserrat Conejo;Women's Strawweight Bout;Decision - Unanimous;1.0
Marion Reneau;Macy Chiasson;Women's Bantamweight Bout;Decision - Unanimous;1.0
Leonardo Santos;Grant Dawson;Lightweight Bout;KO/TKO;0.5
Song Kenan;Max Griffin;Welterweight Bout;KO/TKO;0.5
Derek Brunson;Kevin Holland;Middleweight Bout;Decision - Unanimous;1.0
Montel Jackson;Jesse Strader;Bantamweight Bout;KO/TKO;0.5
Bruno Silva;JP Buys;Flyweight Bout;KO/TKO;0.5
Manel Kape;Matheus Nicolau;Flyweight Bout;Decision - Split;1.0
Misha Cirkunov;Ryan Spann;Light Heavyweight Bout;KO/TKO;0.5
Leon Edwards;Belal Muhammad;Welterweight Bout;Could Not Continue;2.0
Charles Jourdain;Marcelo Rojo;Featherweight Bout;KO/TKO;0.5
Eryk Anders;Darren Stewart;Middleweight Bout;Could Not Continue;2.0
Angela Hill;Ashley Yoder;Women's Strawweight Bout;Decision - Unanimous;1.0
Jonathan Martinez;Davey Grant;Bantamweight Bout;KO/TKO;0.5
Dan Ige;Gavin Tucker;Featherweight Bout;KO/TKO;0.5
Nasrat Haqparast;Rafa Garcia;Lightweight Bout;Decision - Unanimous;1.0
Cortney Casey;JJ Aldrich;Women's Flyweight Bout;Decision - Split;1.0
Matthew Semelsberger;Jason Witt;Welterweight Bout;KO/TKO;0.5
Rani Yahya;Ray Rodriguez;Bantamweight Bout;Submission;0.5
Gloria de Paula;Jinh Yu Frey;Women's Strawweight Bout;Decision - Unanimous;1.0
Dominick Cruz;Casey Kenney;Bantamweight Bout;Decision - Split;1.0
Song Yadong;Kyler Phillips;Bantamweight Bout;Decision - Unanimous;1.0
Petr Yan;Aljamain Sterling;UFC Bantamweight Title Bout;DQ;2.0
Jan Blachowicz;Israel Adesanya;UFC Light Heavyweight Title Bout;Decision - Unanimous;1.0
Thiago Santos;Aleksandar Rakic;Light Heavyweight Bout;Decision - Unanimous;1.0
Joseph Benavidez;Askar Askarov;Flyweight Bout;Decision - Unanimous;1.0
Amanda Nunes;Megan Anderson;UFC Women's Featherweight Title Bout;Submission;0.5
Islam Makhachev;Drew Dober;Lightweight Bout;Submission;0.5
Tim Elliott;Jordan Espinosa;Flyweight Bout;Decision - Unanimous;1.0
Livinha Souza;Amanda Lemos;Women's Strawweight Bout;KO/TKO;0.5
Rogerio Bontorin;Kai Kara-France;Flyweight Bout;KO/TKO;0.5
Uros Medic;Aalon Cruz;Lightweight Bout;KO/TKO;0.5
Kennedy Nzechukwu;Carlos Ulberg;Light Heavyweight Bout;KO/TKO;0.5
Sean Brady;Jake Matthews;Welterweight Bout;Submission;0.5
Mario Bautista;Trevin Jones;Bantamweight Bout;KO/TKO;0.5
Jairzinho Rozenstruik;Ciryl Gane;Heavyweight Bout;Decision - Unanimous;1.0
Montana De La Rosa;Mayra Bueno Silva;Women's Flyweight Bout;Decision - Majority;1.0
Vince Cachero;Ronnie Lawrence;Bantamweight Bout;KO/TKO;0.5
Alexander Hernandez;Thiago Moises;Lightweight Bout;Decision - Unanimous;1.0
Pedro Munhoz;Jimmie Rivera;Bantamweight Bout;Decision - Unanimous;1.0
Alex Caceres;Kevin Croom;Featherweight Bout;Decision - Unanimous;1.0
Alexis Davis;Sabina Mazo;Women's Bantamweight Bout;Decision - Unanimous;1.0
Nikita Krylov;Magomed Ankalaev;Light Heavyweight Bout;Decision - Unanimous;1.0
Dustin Jacoby;Maxim Grishin;Light Heavyweight Bout;Decision - Unanimous;1.0
Aleksei Oleinik;Chris Daukaus;Heavyweight Bout;KO/TKO;0.5
Charles Rosa;Darrick Minner;Featherweight Bout;Decision - Unanimous;1.0
Phil Hawes;Nassourdine Imavov;Middleweight Bout;Decision - Majority;1.0
Curtis Blaydes;Derrick Lewis;Heavyweight Bout;KO/TKO;0.5
Eddie Wineland;John Castaneda;Bantamweight Bout;KO/TKO;0.5
Andrei Arlovski;Tom Aspinall;Heavyweight Bout;Submission;0.5
Jared Gordon;Danny Chavez;Featherweight Bout;Decision - Unanimous;1.0
Ketlen Vieira;Yana Kunitskaya;Women's Bantamweight Bout;Decision - Unanimous;1.0
Aiemann Zahabi;Drako Rodriguez;Bantamweight Bout;KO/TKO;0.5
Serghei Spivac;Jared Vanderaa;Heavyweight Bout;KO/TKO;0.5
Nate Landwehr;Julian Erosa;Featherweight Bout;KO/TKO;0.5
Shana Dobson;Casey O'Neill;Women's Flyweight Bout;KO/TKO;0.5
Maycee Barber;Alexa Grasso;Women's Flyweight Bout;Decision - Unanimous;1.0
Belal Muhammad;Dhiego Lima;Welterweight Bout;Decision - Unanimous;1.0
Maki Pitolo;Julian Marquez;Middleweight Bout;Submission;0.5
Kamaru Usman;Gilbert Burns;UFC Welterweight Title Bout;KO/TKO;0.5
Ricky Simon;Brian Kelleher;Featherweight Bout;Decision - Unanimous;1.0
Kelvin Gastelum;Ian Heinisch;Middleweight Bout;Decision - Unanimous;1.0
Polyana Viana;Mallory Martin;Women's Strawweight Bout;Submission;0.5
Rodolfo Vieira;Anthony Hernandez;Middleweight Bout;Submission;0.5
Gabe Green;Philip Rowe;Welterweight Bout;Decision - Unanimous;1.0
Andre Ewell;Chris Gutierrez;Catch Weight Bout;Decision - Unanimous;1.0
Alexandre Pantoja;Manel Kape;Flyweight Bout;Decision - Unanimous;1.0
Karol Rosa;Joselyne Edwards;Women's Bantamweight Bout;Decision - Unanimous;1.0
Devonte Smith;Justin Jaynes;Catch Weight Bout;TKO - Doctor's Stoppage;0.5
Michael Johnson;Clay Guida;Lightweight Bout;Decision - Unanimous;1.0
Alistair Overeem;Alexander Volkov;Heavyweight Bout;KO/TKO;0.5
Diego Ferreira;Beneil Dariush;Lightweight Bout;Decision - Split;1.0
Cory Sandhagen;Frankie Edgar;Bantamweight Bout;KO/TKO;0.5
Mike Rodriguez;Danilo Marques;Light Heavyweight Bout;Submission;0.5
Ode Osbourne;Jerome Rivera;Featherweight Bout;KO/TKO;0.5
SeungWoo Choi;Youssef Zalal;Featherweight Bout;Decision - Unanimous;1.0
Molly McCann;Lara Procopio;Women's Flyweight Bout;Decision - Unanimous;1.0
Timur Valiev;Martin Day;Featherweight Bout;Decision - Unanimous;1.0
Dan Hooker;Michael Chandler;Lightweight Bout;KO/TKO;0.5
Andrew Sanchez;Makhmud Muradov;Middleweight Bout;KO/TKO;0.5
Julianna Pena;Sara McMann;Women's Bantamweight Bout;Submission;0.5
Jessica Eye;Joanne Calderwood;Women's Flyweight Bout;Decision - Unanimous;1.0
Dustin Poirier;Conor McGregor;Lightweight Bout;KO/TKO;0.5
Brad Tavares;Antonio Carlos Junior;Middleweight Bout;Decision - Unanimous;1.0
Arman Tsarukyan;Matt Frevola;Lightweight Bout;Decision - Unanimous;1.0
Marina Rodriguez;Amanda Ribas;Women's Strawweight Bout;KO/TKO;0.5
Amir Albazi;Zhalgas Zhumagulov;Flyweight Bout;Decision - Unanimous;1.0
Khalil Rountree Jr.;Marcin Prachnio;Light Heavyweight Bout;Decision - Unanimous;1.0
Nik Lentz;Movsar Evloev;Catch Weight Bout;Decision - Split;1.0
Ricky Simon;Gaetano Pirrello;Bantamweight Bout;Submission;0.5
Omari Akhmedov;Tom Breese;Middleweight Bout;Submission;0.5
Warlley Alves;Mounir Lazzez;Welterweight Bout;KO/TKO;0.5
Matt Schnell;Tyson Nam;Flyweight Bout;Decision - Split;1.0
Roxanne Modafferi;Viviane Araujo;Women's Flyweight Bout;Decision - Unanimous;1.0
Ike Villanueva;Vinicius Moreira;Light Heavyweight Bout;KO/TKO;0.5
Michael Chiesa;Neil Magny;Welterweight Bout;Decision - Unanimous;1.0
Lerone Murphy;Douglas Silva de Andrade;Featherweight Bout;Decision - Unanimous;1.0
Su Mudaerji;Zarrukh Adashev;Flyweight Bout;Decision - Unanimous;1.0
Francisco Figueiredo;Jerome Rivera;Flyweight Bout;Decision - Unanimous;1.0
Mike Davis;Mason Jones;Lightweight Bout;Decision - Unanimous;1.0
Dalcha Lungiambula;Markus Perez;Middleweight Bout;Decision - Unanimous;1.0
Umar Nurmagomedov;Sergey Morozov;Bantamweight Bout;Submission;0.5
Victoria Leonardo;Manon Fiorot;Women's Flyweight Bout;KO/TKO;0.5
Wu Yanan;Joselyne Edwards;Women's Bantamweight Bout;Decision - Unanimous;1.0
Punahele Soriano;Dusko Todorovic;Middleweight Bout;KO/TKO;0.5
Carlos Felipe;Justin Tafa;Heavyweight Bout;Decision - Split;1.0
Carlos Condit;Matt Brown;Welterweight Bout;Decision - Unanimous;1.0
David Zawada;Ramazan Emeev;Welterweight Bout;Decision - Split;1.0
Joaquin Buckley;Alessio Di Chirico;Middleweight Bout;KO/TKO;0.5
Santiago Ponzinibbio;Li Jingliang;Welterweight Bout;KO/TKO;0.5
Max Holloway;Calvin Kattar;Featherweight Bout;Decision - Unanimous;1.0
Sarah Moras;Vanessa Melo;Women's Bantamweight Bout;Decision - Unanimous;1.0
Jacob Kilburn;Austin Lingo;Featherweight Bout;Decision - Unanimous;1.0
Marlon Moraes;Rob Font;Bantamweight Bout;KO/TKO;0.5
Sijara Eubanks;Pannie Kianzad;Women's Bantamweight Bout;Decision - Unanimous;1.0
Deron Winn;Antonio Arroyo;Catch Weight Bout;Decision - Unanimous;1.0
Stephen Thompson;Geoff Neal;Welterweight Bout;Decision - Unanimous;1.0
Jose Aldo;Marlon Vera;Bantamweight Bout;Decision - Unanimous;1.0
Anthony Pettis;Alex Morono;Welterweight Bout;Decision - Unanimous;1.0
Marcin Tybura;Greg Hardy;Heavyweight Bout;KO/TKO;0.5
Michel Pereira;Khaos Williams;Welterweight Bout;Decision - Unanimous;1.0
Gillian Robertson;Taila Santos;Women's Flyweight Bout;Decision - Unanimous;1.0
Jimmy Flick;Cody Durden;Flyweight Bout;Submission;0.5
Tafon Nchukwi;Jamie Pickett;Middleweight Bout;Decision - Unanimous;1.0
Christos Giagos;Carlton Minus;Catch Weight Bout;Decision - Unanimous;1.0
Renato Moicano;Rafael Fiziev;Lightweight Bout;KO/TKO;0.5
Kevin Holland;Jacare Souza;Middleweight Bout;KO/TKO;0.5
Mackenzie Dern;Virna Jandiroba;Women's Strawweight Bout;Decision - Unanimous;1.0
Tony Ferguson;Charles Oliveira;Lightweight Bout;Decision - Unanimous;1.0
Deiveson Figueiredo;Brandon Moreno;UFC Flyweight Title Bout;Decision - Majority;1.0
Junior Dos Santos;Ciryl Gane;Heavyweight Bout;KO/TKO;0.5
Gavin Tucker;Billy Quarantillo;Featherweight Bout;Decision - Unanimous;1.0
Cub Swanson;Daniel Pineda;Featherweight Bout;KO/TKO;0.5
Tecia Torres;Sam Hughes;Women's Strawweight Bout;TKO - Doctor's Stoppage;0.5
Chase Hooper;Peter Barrett;Featherweight Bout;Submission;0.5
Gabriel Benitez;Justin Jaynes;Lightweight Bout;KO/TKO;0.5
Roman Dolidze;John Allan;Light Heavyweight Bout;Decision - Split;1.0
Ilia Topuria;Damon Jackson;Featherweight Bout;KO/TKO;0.5
Louis Smolka;Jose Quinonez;Bantamweight Bout;KO/TKO;0.5
Gian Villante;Jake Collier;Heavyweight Bout;Decision - Unanimous;1.0
Ovince Saint Preux;Jamahal Hill;Light Heavyweight Bout;KO/TKO;0.5
Matt Wiman;Jordan Leavitt;Lightweight Bout;KO/TKO;0.5
Jack Hermansson;Marvin Vettori;Middleweight Bout;Decision - Unanimous;1.0
Ashlee Evans-Smith;Norma Dumont;Women's Bantamweight Bout;Decision - Unanimous;1.0
Jonathan Pearce;Kai Kamaka;Featherweight Bout;KO/TKO;0.5
Miguel Baeza;Takashi Sato;Welterweight Bout;Submission;0.5
Josh Parisian;Parker Porter;Heavyweight Bout;Decision - Unanimous;1.0
Anthony Smith;Devin Clark;Light Heavyweight Bout;Submission;0.5
Spike Carlyle;Bill Algeo;Featherweight Bout;Decision - Unanimous;1.0
Martin Day;Anderson Dos Santos;Bantamweight Bout;Submission;0.5
Luke Sanders;Nate Maness;Catch Weight Bout;Submission;0.5
Gina Mazany;Rachael Ostovich;Women's Flyweight Bout;KO/TKO;0.5
Su Mudaerji;Malcolm Gordon;Flyweight Bout;KO/TKO;0.5
Brandon Moreno;Brandon Royval;Flyweight Bout;KO/TKO;0.5
Joaquin Buckley;Jordan Wright;Middleweight Bout;KO/TKO;0.5
Katlyn Chookagian;Cynthia Calvillo;Women's Flyweight Bout;Decision - Unanimous;1.0
Antonina Shevchenko;Ariane Lipski;Women's Flyweight Bout;KO/TKO;0.5
Valentina Shevchenko;Jennifer Maia;UFC Women's Flyweight Title Bout;Decision - Unanimous;1.0
Deiveson Figueiredo;Alex Perez;UFC Flyweight Title Bout;Submission;0.5
Mauricio Rua;Paul Craig;Light Heavyweight Bout;KO/TKO;0.5
Mike Perry;Tim Means;Welterweight Bout;Decision - Unanimous;1.0
Alan Jouban;Jared Gooden;Welterweight Bout;Decision - Unanimous;1.0
Daniel Rodriguez;Nicolas Dalby;Welterweight Bout;Decision - Unanimous;1.0
Louis Cosce;Sasha Palatnikov;Welterweight Bout;KO/TKO;0.5
Kyle Daukaus;Dustin Stoltzfus;Middleweight Bout;Decision - Unanimous;1.0
Ashley Yoder;Miranda Granger;Women's Strawweight Bout;Decision - Unanimous;1.0
Kay Hansen;Cory McKenna;Women's Strawweight Bout;Decision - Unanimous;1.0
Randa Markos;Kanako Murata;Women's Strawweight Bout;Decision - Unanimous;1.0
Brendan Allen;Sean Strickland;Catch Weight Bout;KO/TKO;0.5
Geraldo de Freitas;Tony Gravely;Bantamweight Bout;Decision - Split;1.0
Alex Morono;Rhys McKee;Welterweight Bout;Decision - Unanimous;1.0
Abdul Razak Alhassan;Khaos Williams;Welterweight Bout;KO/TKO;0.5
Paul Felder;Rafael Dos Anjos;Lightweight Bout;Decision - Split;1.0
Don'Tale Mayes;Roque Martinez;Heavyweight Bout;Decision - Unanimous;1.0
Thiago Santos;Glover Teixeira;Light Heavyweight Bout;Submission;0.5
Andrei Arlovski;Tanner Boser;Heavyweight Bout;Decision - Unanimous;1.0
Alexandr Romanov;Marcos Rogerio de Lima;Heavyweight Bout;Submission;0.5
Claudia Gadelha;Yan Xiaonan;Women's Strawweight Bout;Decision - Unanimous;1.0
Darren Elkins;Eduardo Garagorri;Featherweight Bout;Submission;0.5
Giga Chikadze;Jamey Simmons;Featherweight Bout;KO/TKO;0.5
Raoni Barcelos;Khalid Taha;Bantamweight Bout;Decision - Unanimous;1.0
Trevin Giles;Bevon Lewis;Middleweight Bout;KO/TKO;0.5
Gustavo Lopez;Anthony Birchak;Bantamweight Bout;Submission;0.5
Max Griffin;Ramiz Brahimaj;Welterweight Bout;KO/TKO;0.5
Chris Gruetzemacher;Alexander Hernandez;Lightweight Bout;KO/TKO;0.5
Adrian Yanez;Victor Rodriguez;Bantamweight Bout;KO/TKO;0.5
Maurice Greene;Greg Hardy;Heavyweight Bout;KO/TKO;0.5
Sean Strickland;Jack Marshman;Middleweight Bout;Decision - Unanimous;1.0
Bobby Green;Thiago Moises;Lightweight Bout;Decision - Unanimous;1.0
Kevin Holland;Charlie Ontiveros;Middleweight Bout;Submission;0.5
Uriah Hall;Anderson Silva;Middleweight Bout;KO/TKO;0.5
Bryce Mitchell;Andre Fili;Featherweight Bout;Decision - Unanimous;1.0
Dustin Jacoby;Justin Ledet;Light Heavyweight Bout;KO/TKO;0.5
Cole Williams;Jason Witt;Welterweight Bout;Submission;0.5
Miles Johns;Kevin Natividad;Bantamweight Bout;KO/TKO;0.5
Jacob Malkoun;Phil Hawes;Middleweight Bout;KO/TKO;0.5
Alexander Volkov;Walt Harris;Heavyweight Bout;KO/TKO;0.5
Magomed Ankalaev;Ion Cutelaba;Light Heavyweight Bout;KO/TKO;0.5
Stefan Struve;Tai Tuivasa;Heavyweight Bout;KO/TKO;0.5
Robert Whittaker;Jared Cannonier;Middleweight Bout;Decision - Unanimous;1.0
Lauren Murphy;Liliya Shakirova;Women's Flyweight Bout;Submission;0.5
Khabib Nurmagomedov;Justin Gaethje;UFC Lightweight Title Bout;Submission;0.5
Nathaniel Wood;Casey Kenney;Catch Weight Bout;Decision - Unanimous;1.0
Joel Alvarez;Alexander Yakovlev;Lightweight Bout;Submission;0.5
Liana Jojua;Miranda Maverick;Women's Flyweight Bout;TKO - Doctor's Stoppage;0.5
Da-Un Jung;Sam Alvey;Light Heavyweight Bout;Decision - Split;1.0
Alex Oliveira;Shavkat Rakhmonov;Welterweight Bout;Submission;0.5
Katlyn Chookagian;Jessica Andrade;Women's Flyweight Bout;KO/TKO;0.5
Thomas Almeida;Jonathan Martinez;Featherweight Bout;Decision - Unanimous;1.0
Jimmy Crute;Modestas Bukauskas;Light Heavyweight Bout;KO/TKO;0.5
Mateusz Gamrot;Guram Kutateladze;Lightweight Bout;Decision - Split;1.0
Junyong Park;John Phillips;Middleweight Bout;Decision - Unanimous;1.0
Gillian Robertson;Poliana Botelho;Women's Flyweight Bout;Decision - Unanimous;1.0
Claudio Silva;James Krause;Welterweight Bout;Decision - Unanimous;1.0
Brian Ortega;Chan Sung Jung;Featherweight Bout;Decision - Unanimous;1.0
Gadzhimurad Antigulov;Maxim Grishin;Light Heavyweight Bout;KO/TKO;0.5
Said Nurmagomedov;Mark Striegl;Bantamweight Bout;KO/TKO;0.5
Jamie Mullarkey;Fares Ziam;Lightweight Bout;Decision - Unanimous;1.0
Marlon Moraes;Cory Sandhagen;Bantamweight Bout;KO/TKO;0.5
Tom Breese;KB Bhullar;Middleweight Bout;KO/TKO;0.5
Chris Daukaus;Rodrigo Nascimento;Heavyweight Bout;KO/TKO;0.5
Markus Perez;Dricus Du Plessis;Middleweight Bout;KO/TKO;0.5
Ben Rothwell;Marcin Tybura;Heavyweight Bout;Decision - Unanimous;1.0
Youssef Zalal;Ilia Topuria;Featherweight Bout;Decision - Unanimous;1.0
Tom Aspinall;Alan Baudot;Heavyweight Bout;KO/TKO;0.5
Edson Barboza;Makwan Amirkhani;Featherweight Bout;Decision - Unanimous;1.0
Impa Kasanganay;Joaquin Buckley;Middleweight Bout;KO/TKO;0.5
Giga Chikadze;Omar Morales;Featherweight Bout;Decision - Unanimous;1.0
Ali AlQaisi;Tony Kelley;Bantamweight Bout;Decision - Unanimous;1.0
Tracy Cortez;Stephanie Egger;Women's Bantamweight Bout;Decision - Unanimous;1.0
Bruno Silva;Tagir Ulanbekov;Flyweight Bout;Decision - Unanimous;1.0
Carlos Condit;Court McGee;Welterweight Bout;Decision - Unanimous;1.0
Dequan Townsend;Dusko Todorovic;Middleweight Bout;KO/TKO;0.5
Charles Jourdain;Josh Culibao;Featherweight Bout;Decision - Split;1.0
Germaine de Randamie;Julianna Pena;Women's Bantamweight Bout;Submission;0.5
Kyler Phillips;Cameron Else;Bantamweight Bout;KO/TKO;0.5
Holly Holm;Irene Aldana;Women's Bantamweight Bout;Decision - Unanimous;1.0
Yorgan De Castro;Carlos Felipe;Heavyweight Bout;Decision - Unanimous;1.0
Jordan Williams;Nassourdine Imavov;Middleweight Bout;Decision - Unanimous;1.0
Loma Lookboonmee;Jinh Yu Frey;Women's Strawweight Bout;Decision - Unanimous;1.0
Casey Kenney;Heili Alateng;Bantamweight Bout;Decision - Unanimous;1.0
Luigi Vendramini;Jessin Ayari;Lightweight Bout;KO/TKO;0.5
Ketlen Vieira;Sijara Eubanks;Women's Bantamweight Bout;Decision - Unanimous;1.0
Israel Adesanya;Paulo Costa;UFC Middleweight Title Bout;KO/TKO;0.5
Kai Kara-France;Brandon Royval;Flyweight Bout;Submission;0.5
Shane Young;Ludovit Klein;Featherweight Bout;KO/TKO;0.5
Diego Sanchez;Jake Matthews;Welterweight Bout;Decision - Unanimous;1.0
Brad Riddell;Alex Da Silva;Lightweight Bout;Decision - Unanimous;1.0
Dominick Reyes;Jan Blachowicz;UFC Light Heavyweight Title Bout;KO/TKO;0.5
Hakeem Dawodu;Zubaira Tukhugov;Featherweight Bout;Decision - Split;1.0
William Knight;Aleksa Camur;Light Heavyweight Bout;Decision - Unanimous;1.0
Khadis Ibragimov;Danilo Marques;Light Heavyweight Bout;Decision - Unanimous;1.0
Juan Espino;Jeff Hughes;Heavyweight Bout;Submission;0.5
Johnny Walker;Ryan Spann;Light Heavyweight Bout;KO/TKO;0.5
Mirsad Bektic;Damon Jackson;Featherweight Bout;Submission;0.5
Colby Covington;Tyron Woodley;Welterweight Bout;KO/TKO;0.5
Mackenzie Dern;Randa Markos;Women's Strawweight Bout;Submission;0.5
Jordan Espinosa;David Dvorak;Flyweight Bout;Decision - Unanimous;1.0
Kevin Holland;Darren Stewart;Middleweight Bout;Decision - Split;1.0
Khamzat Chimaev;Gerald Meerschaert;Middleweight Bout;KO/TKO;0.5
Donald Cerrone;Niko Price;Welterweight Bout;Overturned;2.0
Jessica-Rose Clark;Sarah Alpar;Women's Bantamweight Bout;KO/TKO;0.5
Darrick Minner;TJ Laramie;Featherweight Bout;Submission;0.5
Journey Newson;Randy Costa;Bantamweight Bout;KO/TKO;0.5
Mayra Bueno Silva;Mara Romero Borella;Women's Flyweight Bout;Submission;0.5
Andre Ewell;Irwin Rivera;Bantamweight Bout;Decision - Split;1.0
Tyson Nam;Jerome Rivera;Bantamweight Bout;KO/TKO;0.5
Bobby Green;Alan Patrick;Lightweight Bout;Decision - Unanimous;1.0
Roosevelt Roberts;Kevin Croom;Lightweight Bout;Overturned;2.0
Billy Quarantillo;Kyle Nelson;Featherweight Bout;KO/TKO;0.5
Julia Avila;Sijara Eubanks;Women's Bantamweight Bout;Decision - Unanimous;1.0
Michelle Waterson;Angela Hill;Women's Strawweight Bout;Decision - Split;1.0
Roxanne Modafferi;Andrea Lee;Women's Flyweight Bout;Decision - Unanimous;1.0
Ed Herman;Mike Rodriguez;Light Heavyweight Bout;Submission;0.5
Ottman Azaitar;Khama Worthy;Lightweight Bout;KO/TKO;0.5
Alexandr Romanov;Roque Martinez;Heavyweight Bout;Submission;0.5
Brok Weaver;Jalin Turner;Catch Weight Bout;Submission;0.5
Bryan Barberena;Anthony Ivy;Welterweight Bout;Decision - Unanimous;1.0
Sabina Mazo;Justine Kish;Women's Flyweight Bout;Submission;0.5
Ovince Saint Preux;Alonzo Menifield;Light Heavyweight Bout;KO/TKO;0.5
Brian Kelleher;Ray Rodriguez;Featherweight Bout;Submission;0.5
Michel Pereira;Zelim Imadaev;Welterweight Bout;Submission;0.5
Viviane Araujo;Montana De La Rosa;Women's Flyweight Bout;Decision - Unanimous;1.0
Andre Muniz;Bartosz Fabinski;Middleweight Bout;Submission;0.5
Cole Smith;Hunter Azure;Bantamweight Bout;Decision - Unanimous;1.0
Alistair Overeem;Augusto Sakai;Heavyweight Bout;KO/TKO;0.5
Alessio Di Chirico;Zak Cummings;Middleweight Bout;Decision - Unanimous;1.0
Anthony Smith;Aleksandar Rakic;Light Heavyweight Bout;Decision - Unanimous;1.0
Ricardo Lamas;Bill Algeo;Featherweight Bout;Decision - Unanimous;1.0
Robbie Lawler;Neil Magny;Welterweight Bout;Decision - Unanimous;1.0
Ji Yeon Kim;Alexa Grasso;Women's Flyweight Bout;Decision - Unanimous;1.0
Alex Caceres;Austin Springer;Featherweight Bout;Submission;0.5
Maki Pitolo;Impa Kasanganay;Middleweight Bout;Decision - Unanimous;1.0
Sean Brady;Christian Aguilera;Welterweight Bout;Submission;0.5
Mallory Martin;Hannah Cifers;Women's Strawweight Bout;Submission;0.5
Polyana Viana;Emily Whitmire;Women's Strawweight Bout;Submission;0.5
Ike Villanueva;Jordan Wright;Light Heavyweight Bout;TKO - Doctor's Stoppage;0.5
Carlton Minus;Matthew Semelsberger;Welterweight Bout;Decision - Unanimous;1.0
Daniel Rodriguez;Dwight Grant;Welterweight Bout;KO/TKO;0.5
Marcin Prachnio;Mike Rodriguez;Light Heavyweight Bout;KO/TKO;0.5
Amanda Lemos;Inoue Mizuki;Women's Strawweight Bout;Decision - Unanimous;1.0
Mariya Agapova;Shana Dobson;Women's Flyweight Bout;KO/TKO;0.5
Austin Hubbard;Joe Solecki;Lightweight Bout;Submission;0.5
Pedro Munhoz;Frankie Edgar;Bantamweight Bout;Decision - Split;1.0
Timur Valiev;Trevin Jones;Catch Weight Bout;Overturned;2.0
Junior Dos Santos;Jairzinho Rozenstruik;Heavyweight Bout;KO/TKO;0.5
Herbert Burns;Daniel Pineda;Featherweight Bout;KO/TKO;0.5
Felice Herrig;Virna Jandiroba;Women's Strawweight Bout;Submission;0.5
Sean O'Malley;Marlon Vera;Bantamweight Bout;KO/TKO;0.5
John Dodson;Merab Dvalishvili;Bantamweight Bout;Decision - Unanimous;1.0
Stipe Miocic;Daniel Cormier;UFC Heavyweight Title Bout;Decision - Unanimous;1.0
TJ Brown;Danny Chavez;Featherweight Bout;Decision - Unanimous;1.0
Jim Miller;Vinc Pichel;Lightweight Bout;Decision - Unanimous;1.0
Chris Daukaus;Parker Porter;Heavyweight Bout;KO/TKO;0.5
Kai Kamaka;Tony Kelley;Featherweight Bout;Decision - Unanimous;1.0
Ashley Yoder;Livinha Souza;Women's Strawweight Bout;Decision - Unanimous;1.0
Tim Means;Laureano Staropoli;Welterweight Bout;Decision - Unanimous;1.0
Kevin Holland;Joaquin Buckley;Middleweight Bout;KO/TKO;0.5
Nasrat Haqparast;Alexander Munoz;Lightweight Bout;Decision - Unanimous;1.0
Derrick Lewis;Aleksei Oleinik;Heavyweight Bout;KO/TKO;0.5
Yana Kunitskaya;Julija Stoliarenko;Women's Bantamweight Bout;Decision - Unanimous;1.0
Beneil Dariush;Scott Holtzman;Lightweight Bout;KO/TKO;0.5
Maki Pitolo;Darren Stewart;Middleweight Bout;Submission;0.5
Omari Akhmedov;Chris Weidman;Middleweight Bout;Decision - Unanimous;1.0
Youssef Zalal;Peter Barrett;Featherweight Bout;Decision - Unanimous;1.0
Irwin Rivera;Ali AlQaisi;Bantamweight Bout;Decision - Split;1.0
Gavin Tucker;Justin Jaynes;Featherweight Bout;Submission;0.5
Andrew Sanchez;Wellington Turman;Middleweight Bout;KO/TKO;0.5
Joanne Calderwood;Jennifer Maia;Women's Flyweight Bout;Submission;0.5
Johnny Munoz;Nate Maness;Featherweight Bout;Decision - Unanimous;1.0
Frankie Saenz;Jonathan Martinez;Bantamweight Bout;KO/TKO;0.5
Jamall Emmers;Vince Cachero;Featherweight Bout;Decision - Unanimous;1.0
Vicente Luque;Randy Brown;Welterweight Bout;KO/TKO;0.5
Derek Brunson;Edmen Shahbazyan;Middleweight Bout;KO/TKO;0.5
Chris Gutierrez;Cody Durden;Bantamweight Bout;Decision - Unanimous;1.0
Lando Vannata;Bobby Green;Lightweight Bout;Decision - Unanimous;1.0
Alex Oliveira;Peter Sobotta;Welterweight Bout;Decision - Unanimous;1.0
Robert Whittaker;Darren Till;Middleweight Bout;Decision - Unanimous;1.0
Mauricio Rua;Rogerio Nogueira;Light Heavyweight Bout;Decision - Split;1.0
Francisco Trinaldo;Jai Herbert;Lightweight Bout;KO/TKO;0.5
Carla Esparza;Marina Rodriguez;Women's Strawweight Bout;Decision - Split;1.0
Khamzat Chimaev;Rhys McKee;Welterweight Bout;KO/TKO;0.5
Paul Craig;Gadzhimurad Antigulov;Light Heavyweight Bout;Submission;0.5
Fabricio Werdum;Alexander Gustafsson;Heavyweight Bout;Submission;0.5
Tom Aspinall;Jake Collier;Heavyweight Bout;KO/TKO;0.5
Nicolas Dalby;Jesse Ronson;Welterweight Bout;Overturned;2.0
